Nr,jaar,verbatimEventDate,eventDate2,day,month,year,eventDate,Gemeente,ADRES,Melder,X,Y,aantalBomen,gemiddeldAantalNestenPerBoom,Opmerkingen
EPR196,2006,11/06/2006,11/06/2006,11,06,2006,2006-06-11,BERLARE,"Berlarebroek 
(Gratiebos)",openbaar,123395,193639,,,
EPR197,2006,29/06/1905,29/06/2006,29,06,2006,2006-06-29,KRUIBEKE,Molenstraat 233,privé,145301,207421,,,
EPR198,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,AALST,Vinkenlaan thv huisnr 11,Openbaar,129936,178548,,3 haarden,
EPR199,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,BERLARE,Ridderlaan 19,privé,124695,192891,1,3,
EPR200,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Akkerstraat 28,privé,140018,190645,?,,
EPR201,2007,3/05/2007,3/05/2007,03,05,2007,2007-05-03,BUGGENHOUT,Blijdorpstraat 3,privé,136094,190540,,,MPI Blijdorp
EPR202,2007,7/06/2007,7/06/2007,07,06,2007,2007-06-07,BUGGENHOUT,Bosdreef 19,Openbaar,138807,188546,?,,
EPR203,2007,7/06/2007,7/06/2007,07,06,2007,2007-06-07,BUGGENHOUT,Bovendonkstraat 121,privé,137903,188237,,,
EPR204,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Brandstraat 81,privé,135665,189053,?,,
EPR205,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Brede Eik 1,privé,137125,190686,2,,
EPR206,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Broekstraat 20,privé,136386,187577,1,,
EPR207,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Brusselmansstraat 24,privé,139221,189827,?,,
EPR208,2007,15/06/2007,15/06/2007,15,06,2007,2007-06-15,BUGGENHOUT,Brusselmansstraat 91,privé,139707,189476,,,
EPR209,2007,jun/07,01/06/2007,01,06,2007,2007-06-01,BUGGENHOUT,Collegestraat 1 (gemeenteschool),Openbaar,137679,189101,,,
EPR210,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,BUGGENHOUT,Hoofddreef achter Boskapel,Openbaar,138826,187424,?,,
EPR211,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Kapelbaan 19,privé,137984,186861,verschillende,,
EPR212,2007,12/06/2007,12/06/2007,12,06,2007,2007-06-12,BUGGENHOUT,Kasteelstraat 161,privé,138899,187969,?,,golfclub Krokkebaas
EPR213,2007,jun/07,01/06/2007,01,06,2007,2007-06-01,BUGGENHOUT,Kasteelstraat 177,privé,138909,187738,,,gasthof Kussnacht
EPR214,2007,mrt/07,01/03/2007,01,03,2007,2007-03-01,BUGGENHOUT,Kasteelstraat 206,Openbaar,138682,187675,enkele,,
EPR215,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Krapstraat 66,privé,136821,188316,?,,
EPR216,2007,8/06/2007,8/06/2007,08,06,2007,2007-06-08,BUGGENHOUT,Lijnsebossen 1,privé,136494,189192,1,,
EPR217,2007,9/06/2007,9/06/2007,09,06,2007,2007-06-09,BUGGENHOUT,Molenstraat 124,privé,135915,188471,?,,
EPR218,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,BUGGENHOUT,Ravenstraat 172,privé,137369,186298,?,,
EPR219,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Ter Hoeven 9,privé,135445,188732,?,,
EPR220,2007,11/06/2007,11/06/2007,11,06,2007,2007-06-11,BUGGENHOUT,Vierbunderstraat 2,privé,139980,190219,1,,
EPR221,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,BUGGENHOUT,Vossenhol 1,privé,140759,191526,?,,
EPR222,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Baasrodestraat 145,privé,134612,192076,2,,
EPR223,2007,1/06/2007,1/06/2007,01,06,2007,2007-06-01,DENDERMONDE,Baasrodestraat 226,privé,133928,192126,1,,
EPR224,2007,15/06/2007,15/06/2007,15,06,2007,2007-06-15,DENDERMONDE,Baasrodestraat 6,privé,135345,192002,1,,
EPR225,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,DENDERMONDE,Baasrodestraat 84,privé,134804,192152,3,,
EPR226,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Bakkerstraat 142,privé,131183,193351,,,
EPR227,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,DENDERMONDE,Bakkerstraat 162,openbaar,131093,193523,1,,
EPR228,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,DENDERMONDE,Bakkerstraat 257,privé,130850,194368,,,
EPR229,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Bleienpark 14,privé,127902,188584,1,,
EPR230,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Bookmolenstraat 232,privé,134954,190758,5,,
EPR231,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,DENDERMONDE,Bookmolenstraat 234,privé,134971,190763,1,,
EPR232,2007,19/05/2007,19/05/2007,19,05,2007,2007-05-19,DENDERMONDE,Buisstraat 47,privé,132579,190141,1,,
EPR233,2007,1/06/2007,1/06/2007,01,06,2007,2007-06-01,DENDERMONDE,Buisstraat 47,privé,132579,190141,1,,
EPR234,2007,1/06/2007,1/06/2007,01,06,2007,2007-06-01,DENDERMONDE,De Dammenlaan 15,privé,129811,191492,2,,
EPR235,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,DENDERMONDE,Denstraat 55,privé,132620,194309,1,,
EPR236,2007,24/05/2007,24/05/2007,24,05,2007,2007-05-24,DENDERMONDE,Denstraat 74,privé,133059,194631,1,,
EPR237,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Gentsesteenweg 129,privé,130049,191309,8,,
EPR238,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Hagewijkpark 3,privé,131497,193422,,,
EPR239,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,DENDERMONDE,Hamsesteenweg 28,privé,131661,194211,,,
EPR240,2007,7/06/2007,7/06/2007,07,06,2007,2007-06-07,DENDERMONDE,Heirstraat 61,openbaar,128322,191115,3,,
EPR241,2007,15/06/2007,15/06/2007,15,06,2007,2007-06-15,DENDERMONDE,Hekkenhoek 75,privé,130303,194149,2,,
EPR242,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Hekkestraat 20,privé,130695,194029,,,
EPR243,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,DENDERMONDE,Hekkestraat 49-50,privé,130383,193946,,,
EPR244,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,DENDERMONDE,Hoekstraat 5,privé,127175,187845,1,,
EPR245,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Hof ter Hertwinckelstraat 19,privé,132123,188782,,,
EPR246,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,DENDERMONDE,Hof ter Hertwinckelstraat 17,privé,132149,188760,1,,
EPR247,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,DENDERMONDE,"Hoogveld (Alfamed, buur van 67)",privé,134061,191074,1,,
EPR248,2007,12/06/2007,12/06/2007,12,06,2007,2007-06-12,DENDERMONDE,Hoogveld 10,privé,133315,191726,,,
EPR249,2007,1/06/2007,1/06/2007,01,06,2007,2007-06-01,DENDERMONDE,Hoogveld 61,privé,133949,191135,3,,
EPR250,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,DENDERMONDE,Huiveldestraat 2a,privé,129491,193666,1,,
EPR251,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,DENDERMONDE,Hullekensstraat 169,privé,132511,190856,1,,
EPR252,2007,7/06/2007,7/06/2007,07,06,2007,2007-06-07,DENDERMONDE,Karel Eeckhoutstraat (speelbos Robin Woet),openbaar,131616,191878,,,
EPR253,2007,7/06/2007,7/06/2007,07,06,2007,2007-06-07,DENDERMONDE,Kalendijk thv huisnr 18,openbaar,131491,190571,,,
EPR254,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Killeweg 20,privé,132346,191956,1,,
EPR255,2007,7/06/2007,7/06/2007,07,06,2007,2007-06-07,DENDERMONDE,Kleinzand 2a,privé,131214,193186,1,,
EPR256,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,DENDERMONDE,Knaptandstraat 7,privé,132550,191709,,,
EPR257,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Korte Haagstraat 31,privé,132958,189556,1,,
EPR258,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,DENDERMONDE,Kroonveldlaan 33,privé,132046,191141,1,,
EPR259,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Kroonveldlaan 50,privé,132216,190789,5,,
EPR260,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Leopold II-laan 14,privé,131482,190816,1,,
EPR261,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,DENDERMONDE,Leopold II-laan 70,privé,131626,191072,1,,
EPR262,2007,12/06/2007,12/06/2007,12,06,2007,2007-06-12,DENDERMONDE,Mechelsesteenweg 264,privé,132876,191862,3,,
EPR263,2007,1/06/2007,1/06/2007,01,06,2007,2007-06-01,DENDERMONDE,Mespelarestraat 13,privé,128321,187688,2,,
EPR264,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Mespelarestraat 17,privé,128341,187652,1,,
EPR265,2007,27/06/2007,27/06/2007,27,06,2007,2007-06-27,DENDERMONDE,Migrostraat 108,privé,126310,186843,1,,
EPR266,2007,14/06/2007,14/06/2007,14,06,2007,2007-06-14,DENDERMONDE,Olieslagerstraat 122,privé,132981,189647,1,,
EPR267,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,DENDERMONDE,Putteveld 5,privé,133038,190844,1,,
EPR268,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,DENDERMONDE,Reigerslaan 27,privé,131166,193301,,,
EPR269,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,DENDERMONDE,Reigerslaan 29,privé,131173,193283,,,
EPR270,2007,15/06/2007,15/06/2007,15,06,2007,2007-06-15,DENDERMONDE,Rootjensweg 76 (gemeenteschool Grembergen),openbaar,131397,193796,2,,
EPR271,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Schaapveld 12,privé,133835,190579,1,,
EPR272,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Sint-Margrietstraat 24,privé,130808,192891,4,,
EPR273,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,DENDERMONDE,Smidsestraat 24,privé,131746,193915,1,,
EPR274,2007,7/06/2007,7/06/2007,07,06,2007,2007-06-07,DENDERMONDE,Sparrenlaan 45,privé,132399,191127,,,
EPR275,2007,19/05/2007,19/05/2007,19,05,2007,2007-05-19,DENDERMONDE,Sportpleinstraat 24,privé,131368,192904,1,,
EPR276,2007,15/06/2007,15/06/2007,15,06,2007,2007-06-15,DENDERMONDE,stadspark achter bunker Brusselse Poort,openbaar,131419,190554,2,,
EPR277,2007,24/05/2007,24/05/2007,24,05,2007,2007-05-24,DENDERMONDE,Steenweg op Grembergen 2a,privé,131229,191911,,,
EPR278,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Steenweg van Aalst (korfbalplein sporthal Appels),openbaar,128952,190910,,,
EPR279,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Steenweg van Aalst 87,privé,128874,190604,1,,
EPR280,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,DENDERMONDE,Torrestraat 35,privé,132861,190110,,,
EPR281,2007,1/06/2007,1/06/2007,01,06,2007,2007-06-01,DENDERMONDE,Vijfbunderstraat 27,privé,131388,194627,2,,
EPR282,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,DENDERMONDE,Vijfbunderstraat 29,privé,131357,194631,1,,
EPR283,2007,24/05/2007,24/05/2007,24,05,2007,2007-05-24,DENDERMONDE,Vijfbunderstraat 55,privé,131037,194532,1,,
EPR284,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Vlasbloemstraat 4,privé,130728,192841,1,,
EPR285,2007,,2007,2007,,2007,,DENDERMONDE,Vlasbloemstraat 6,privé,130726,192828,1,,
EPR286,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,DENDERMONDE,Volaardestraat 66,privé,133700,189747,,,
EPR287,2007,begin april 2007,01/04/2007,01,04,2007,2007-04-01,DENDERMONDE,Voortweg thv huisnr 41,openbaar,131939,193144,12,,
EPR288,2007,begin april 2007,01/04/2007,01,04,2007,2007-04-01,DENDERMONDE,Voortweg,openbaar,132217,193214,12,,
EPR289,2007,begin april 2007,01/04/2007,01,04,2007,2007-04-01,DENDERMONDE,Voortweg thv Broekkerresloot,openbaar,132483,193384,12,,
EPR290,2007,23/05/2007,23/05/2007,23,05,2007,2007-05-23,DENDERMONDE,Vosakkerslaan 14,privé,130932,193442,,,
EPR291,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,DENDERMONDE,Vossenhoek 71,privé,131553,192558,1,,
EPR292,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Wolvestraat 12,privé,133889,191460,1,,
EPR293,2007,25/05/2007,25/05/2007,25,05,2007,2007-05-25,DENDERMONDE,Zandstraat 103,privé,128907,191199,10,,
EPR294,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,DENDERMONDE,Zeelsebaan 38,privé,130696,192703,1,,
EPR295,2007,8/06/2007,8/06/2007,08,06,2007,2007-06-08,DENDERMONDE,Zeelsebaan 55,privé,130720,192807,,,
EPR296,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,DENDERMONDE,Zeelsebaan 8,privé,131143,192422,,,
EPR297,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,DENDERMONDE,Zevenhoevenstraat 17,privé,134336,191985,1,,
EPR298,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,DENDERMONDE,Zevenhoevenstraat 22,privé,134272,191992,1,,
EPR299,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,DENDERMONDE,Zijdijk 5,privé,133365,194270,2,,
EPR300,2007,8/06/2007,8/06/2007,08,06,2007,2007-06-08,DENDERMONDE,Zijpestraat 33,privé,128595,188501,3,,
EPR301,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,DENDERMONDE,Zogsebaan,Openbaar,131458,195124,1,,
EPR302,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,DENDERMONDE,Zogsebaan 15,openbaar + privé,131572,195077,10,,
EPR303,2007,11/05/2007,11/05/2007,11,05,2007,2007-05-11,DENDERMONDE,Zogsebaan 5,openbaar,131163,195480,10,,
EPR304,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,DENDERMONDE,Zwarte Beekstraat 37,privé,135696,191046,,,
EPR305,2007,13/06/2007,13/06/2007,13,06,2007,2007-06-13,EVERGEM,"Engelenhof, begraafplaats Ertvelde",Openbaar,107257,208061,3,5,
EPR306,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,HAMME,Ardoystraat 38,privé,131048,198161,4,10,
EPR307,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,HAMME,Ardoystraat 51,privé,130869,198058,1,2,
EPR308,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,HAMME,Ardoystraat 67,privé,130747,198050,3,5,
EPR309,2007,18/05/2007,18/05/2007,18,05,2007,2007-05-18,HAMME,Aubroekstraat 18A,privé,135392,193618,1,2,
EPR310,2007,24/05/2007,24/05/2007,24,05,2007,2007-05-24,HAMME,Boeykensstreek 23,privé,136671,195767,1,4,
EPR311,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Boonstraat 12,privé,134424,195639,2,6,
EPR312,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,HAMME,Boonstraat 19,privé,134434,195573,1,15,
EPR313,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,HAMME,Boonstraat thv nr 21,Openbaar,134406,195569,1,5,
EPR314,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,HAMME,Boordijkstraat 20A,privé,135433,195273,1,12,
EPR315,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Moernenstraat,openbaar,130293,196650,3,2,
EPR316,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,De Schoesitterplein,Openbaar,134947,195510,1,1,
EPR317,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Ekelbeke 148,privé,131065,196994,1,4,
EPR318,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,HAMME,Ekelbeke 159,privé,131225,196994,1,8,
EPR319,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Ekelbeke 163,privé,131176,196971,1,8,
EPR320,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Ekelbeke 165,privé,131124,196994,2,3,
EPR321,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,HAMME,Ekelbeke 178,privé,130879,196880,4,5,
EPR322,2007,7/05/2007,7/05/2007,07,05,2007,2007-05-07,HAMME,Evangeliestraat 123,privé,132589,197961,3,4,
EPR323,2007,27/04/2007,27/04/2007,27,04,2007,2007-04-27,HAMME,Evangeliestraat 85 (Speelplaats Zouaaf),Openbaar,132798,198159,1,1,
EPR324,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,Evangeliestraat 85 (Zouavenschool),privé,132798,198159,1,10,
EPR325,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,HAMME,Evangeliestraat 85 (Zouavenschool),Openbaar,132798,198159,2,3,
EPR326,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,Evangeliestraat 99,privé,132669,198021,1,4,
EPR327,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Ganzenberg 61,privé,135575,193164,1,1,
EPR328,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,HAMME,Heirbaan 1,privé,130690,198039,1,3,
EPR329,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,HAMME,Heirbaan 192A,privé,130508,196392,2,4,
EPR330,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,HAMME,Heirbaan 293,privé,130859,195939,2,2,
EPR331,2007,18/05/2007,18/05/2007,18,05,2007,2007-05-18,HAMME,Heirbaan 339,Openbaar,131048,195599,1,12,
EPR332,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,HAMME,Heirbaan 339-341,Openbaar,131065,195603,2,7 à 8,
EPR333,2007,18/05/2007,18/05/2007,18,05,2007,2007-05-18,HAMME,Heirbaan 341,Openbaar,131075,195592,1,2,
EPR334,2007,18/05/2007,18/05/2007,18,05,2007,2007-05-18,HAMME,Heirbaan thv 339,Openbaar,131048,195599,1,2,
EPR335,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Hooigat 12,privé,130143,196950,2,4,
EPR336,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,HAMME,Hooigat 3,privé,130276,197120,2,7,
EPR337,2007,22/05/2007,22/05/2007,22,05,2007,2007-05-22,HAMME,Hooigat 6,privé,130069,197022,2,4,
EPR338,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,HAMME,Hooigat 8,privé,130040,197024,1,1,
EPR339,2007,19/05/2007,19/05/2007,19,05,2007,2007-05-19,HAMME,Hooirt 240,privé,133406,197042,1,1,
EPR340,2007,3/06/2007,3/06/2007,03,06,2007,2007-06-03,HAMME,Jef De Boecklaan 3,privé,133397,197641,1,3,
EPR341,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Loystraat 163,privé,134116,198174,1,1,
EPR342,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,HAMME,Meerstraat 31,privé,132267,196800,1,1,
EPR343,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,HAMME,Meerstraat 96,privé,131887,196330,5,1,
EPR344,2007,18/05/2007,18/05/2007,18,05,2007,2007-05-18,HAMME,Mergelbeek 53,privé,132765,197870,1,1,
EPR345,2007,22/05/2007,22/05/2007,22,05,2007,2007-05-22,HAMME,Moerheide 59,privé,132293,198175,2,1,
EPR346,2007,25/05/2007,25/05/2007,25,05,2007,2007-05-25,HAMME,Moerheide 70,privé,132243,198053,1,1,
EPR347,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,HAMME,Moernenstraat,privé,130338,196613,1,1,
EPR348,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,Neerstraat 148,privé,134352,196382,4,3,
EPR349,2007,24/05/2007,24/05/2007,24,05,2007,2007-05-24,HAMME,Noordstraat 118,privé,134741,198592,1,4,
EPR350,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,Overloopakker 2,privé,130278,196018,1,10,
EPR351,2007,22/05/2007,22/05/2007,22,05,2007,2007-05-22,HAMME,Sint-Antoniusdreef 51,privé,130400,198359,1,20 à 25,
EPR352,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,HAMME,Sint-Antoniusdreef 52,privé,130400,198359,1,4,
EPR353,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,HAMME,Sint-Antoniusdreef 7,privé,130419,198316,1,1,
EPR354,2007,22/05/2007,22/05/2007,22,05,2007,2007-05-22,HAMME,Speelplein De Braak (Zogge tss 88 & 90),Openbaar,131156,196406,2,2,
EPR355,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,Speelplein De Braak (Zogge tss 88 & 90),Openbaar,131156,196406,5,3,
EPR356,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,HAMME,Speelplein De Braak (Zogge tss 88 & 90),Openbaar,131156,196406,1,1,
EPR357,2007,2/06/2007,2/06/2007,02,06,2007,2007-06-02,HAMME,Strijderslaan 117,privé,133173,197944,1,1,
EPR358,2007,29/05/2007,29/05/2007,29,05,2007,2007-05-29,HAMME,Theet 18,privé,133317,196862,1,3,
EPR359,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,HAMME,Thoog 13,openbaar,135589,193406,1,1,
EPR360,2007,18/05/2007,18/05/2007,18,05,2007,2007-05-18,HAMME,Vlaslaan 8,privé,133146,198097,1,6,
EPR361,2007,24/04/2007,24/04/2007,24,04,2007,2007-04-24,HAMME,Vredestraat 1,Openbaar,134755,195209,1,3,
EPR362,2007,5/05/2007,5/05/2007,05,05,2007,2007-05-05,HAMME,Vredestraat 1,Openbaar,134755,195209,1,6,
EPR363,2007,14/05/2007,14/05/2007,14,05,2007,2007-05-14,HAMME,Zandvoorde 22,privé,132596,195154,3,3,
EPR364,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,HAMME,Zogge 106,privé,131224,196487,1,8 à 9,
EPR365,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,Zwaarveld 26,privé,133418,196001,2,2,
EPR366,2007,21/05/2007,21/05/2007,21,05,2007,2007-05-21,HAMME,Zwaarveld 26,privé,133418,196001,1,1,
EPR367,2007,19/05/2007,19/05/2007,19,05,2007,2007-05-19,HAMME,Zwaarveld 26,Openbaar,133178,196069,20,2 tot 15,
EPR368,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,LEDE,Smesweg 80,privé,121888,183751,1,1,
EPR369,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,LEDE,Smesweg 86,privé,121875,183730,1,1,
EPR370,2007,14/06/2007,14/06/2007,14,06,2007,2007-06-14,LEDE,Wichelsesteenweg 101,privé,122370,184991,1,1,
EPR371,2007,26/05/2007,26/05/2007,26,05,2007,2007-05-26,LOCHRISTI,Doornikstraat,privé,110722,197446,1,5,
EPR372,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,LOCHRISTI,Dam 73,privé,114770,204331,1,3,
EPR373,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,LOCHRISTI,Leemstraat 29,privé,115506,202884,1,4,
EPR374,2007,8/06/2007,8/06/2007,08,06,2007,2007-06-08,LOCHRISTI,Berkenstraat 63,privé,114159,202705,1,3,
EPR375,2007,30/05/2007,30/05/2007,30,05,2007,2007-05-30,LOKEREN,Kanaalstraat 2,Openbaar,124678,198512,1,21,
EPR376,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,LOKEREN,fietspad 200m voor Daknamdorp vanuit Lokeren,Openbaar,123668,200122,4,,
EPR377,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,LOKEREN,fietspad tussen Spletterenbrug en Zuidstraat,Openbaar,121852,203613,20,,
EPR378,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,LOKEREN,fietspad tussen Spletterenbrug nr 12 en 14,Openbaar,121369,204049,5,,
EPR379,2007,6/06/2007,6/06/2007,06,06,2007,2007-06-06,MELLE,Kalverhagestraat 14,privé,110777,186562,2,,
EPR380,2007,9/06/2007,9/06/2007,09,06,2007,2007-06-09,MOERBEKE,Bevrijderstraat 13,privé,120015,207080,,,
EPR381,2007,4/06/2007,4/06/2007,04,06,2007,2007-06-04,MOERBEKE,Groenstraat thv huisnr 12a,Openbaar,122254,207875,5,,
EPR382,2007,3/06/2007,3/06/2007,03,06,2007,2007-06-03,MOERBEKE,Heidebos (kant Wachtebekesteenweg),Openbaar,118016,207019,15,,
EPR383,2007,9/06/2007,9/06/2007,09,06,2007,2007-06-09,MOERBEKE,Heirweg 3c,privé,121414,207162,1,,
EPR384,2007,9/06/2007,9/06/2007,09,06,2007,2007-06-09,MOERBEKE,Heirweg 80,privé,122680,207623,1,,
EPR385,2007,29/06/2007,29/06/2007,29,06,2007,2007-06-29,MOERBEKE,hoek Meierijstraat -Spoorwegstraat,Openbaar,119334,207460,1,,
EPR386,2007,31/05/2007,31/05/2007,31,05,2007,2007-05-31,MOERBEKE,Keizershoek 4,privé,118893,207794,1,,
EPR387,2007,9/06/2007,9/06/2007,09,06,2007,2007-06-09,MOERBEKE,Molenstraat 18a,privé,118888,209372,,,
EPR388,2007,29/06/2007,29/06/2007,29,06,2007,2007-06-29,MOERBEKE,Molenstraat bos voorbij nr 24,Openbaar,118609,209596,5,,
EPR389,2007,9/06/2007,9/06/2007,09,06,2007,2007-06-09,MOERBEKE,Papdijk 20,privé,118835,210255,3,,
EPR390,2007,29/06/2007,29/06/2007,29,06,2007,2007-06-29,MOERBEKE,"parallelweg Noord N49/E34 
tussen Pereboom en Stekene",Openbaar,121947,210848,1,,
EPR391,2007,29/06/2007,29/06/2007,29,06,2007,2007-06-29,MOERBEKE,Statiestraat 29A,privé,119625,207330,1,,
EPR392,2007,24/05/2007,24/05/2007,24,05,2007,2007-05-24,SINT-GILLIS-WAAS,Bagonie 2-4 bus C,privé,129514,209356,,4,
EPR393,2007,9/06/2007,9/06/2007,09,06,2007,2007-06-09,SINT-GILLIS-WAAS,Buitenstraat  (midden straat),Openbaar,129536,215619,,3,
EPR394,2007,5/06/2007,5/06/2007,05,06,2007,2007-06-05,SINT-GILLIS-WAAS,camping Fort Bedmar,privé,131864,217432,,22,
EPR395,2007,8/06/2007,8/06/2007,08,06,2007,2007-06-08,SINT-GILLIS-WAAS,Dijkstraat 10,privé,134291,216499,,1,
