OBJECTID,occurrenceID,type,language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,basisOfRecord,"recordedBy""",Waterbody,habitat,managementAction,kingdom,scientificName,scientificNameAuthorship,taxonRank,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,verbatimSRS,ownerInstitutionCode,EventDate,continent,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateuncertaintyInMeters,nomenclaturalCode
12,INBO:IAS:FAL:D:12,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,114247.40635,188058.29942,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8594113,51.0016479,WGS84,10,ICBN
13,INBO:IAS:FAL:D:13,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130175.87012,193316.36922,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.086048,51.0496735,WGS84,10,ICBN
14,INBO:IAS:FAL:D:14,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130166.10881,193318.54104,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0859087,51.0496927,WGS84,10,ICBN
15,INBO:IAS:FAL:D:15,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130156.33812,193320.66845,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0857692,51.0497115,WGS84,10,ICBN
16,INBO:IAS:FAL:D:16,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130146.53231,193322.62961,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0856293,51.0497287,WGS84,10,ICBN
17,INBO:IAS:FAL:D:17,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130136.7265,193324.59077,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0854893,51.049746,WGS84,10,ICBN
18,INBO:IAS:FAL:D:18,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130126.86266,193326.18689,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0853486,51.04976,WGS84,10,ICBN
19,INBO:IAS:FAL:D:19,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130116.93214,193327.36363,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0852069,51.0497703,WGS84,10,ICBN
20,INBO:IAS:FAL:D:20,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130107.00161,193328.54037,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0850652,51.0497805,WGS84,10,ICBN
21,INBO:IAS:FAL:D:21,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130097.07109,193329.71711,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0849235,51.0497908,WGS84,10,ICBN
22,INBO:IAS:FAL:D:22,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130087.14057,193330.89385,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0847818,51.049801,WGS84,10,ICBN
23,INBO:IAS:FAL:D:23,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130077.22215,193332.16804,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0846403,51.0498121,WGS84,10,ICBN
24,INBO:IAS:FAL:D:24,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130067.30555,193333.45684,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0844988,51.0498234,WGS84,10,ICBN
25,INBO:IAS:FAL:D:25,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130057.38895,193334.74564,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0843574,51.0498346,WGS84,10,ICBN
26,INBO:IAS:FAL:D:26,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130047.47618,193336.06218,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0842159,51.0498461,WGS84,10,ICBN
27,INBO:IAS:FAL:D:27,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130037.58232,193337.51527,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0840747,51.0498588,WGS84,10,ICBN
28,INBO:IAS:FAL:D:28,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130027.68846,193338.96837,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0839336,51.0498715,WGS84,10,ICBN
29,INBO:IAS:FAL:D:29,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130017.7946,193340.42146,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0837924,51.0498843,WGS84,10,ICBN
30,INBO:IAS:FAL:D:30,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,130007.90073,193341.87455,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0836512,51.049897,WGS84,10,ICBN
31,INBO:IAS:FAL:D:31,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129998.00687,193343.32765,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.08351,51.0499097,WGS84,10,ICBN
32,INBO:IAS:FAL:D:32,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129988.11301,193344.78074,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0833689,51.0499224,WGS84,10,ICBN
33,INBO:IAS:FAL:D:33,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129978.26906,193346.53961,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0832284,51.0499379,WGS84,10,ICBN
34,INBO:IAS:FAL:D:34,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129968.42676,193348.30851,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0830879,51.0499535,WGS84,10,ICBN
35,INBO:IAS:FAL:D:35,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129958.58045,193350.05162,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0829474,51.0499688,WGS84,10,ICBN
36,INBO:IAS:FAL:D:36,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129948.66496,193351.34897,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0828059,51.0499801,WGS84,10,ICBN
37,INBO:IAS:FAL:D:37,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129938.74948,193352.64633,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0826645,51.0499914,WGS84,10,ICBN
38,INBO:IAS:FAL:D:38,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129928.83399,193353.94368,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.082523,51.0500028,WGS84,10,ICBN
39,INBO:IAS:FAL:D:39,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129918.9185,193355.24103,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0823815,51.0500141,WGS84,10,ICBN
40,INBO:IAS:FAL:D:40,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129908.97472,193356.29202,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0822397,51.0500232,WGS84,10,ICBN
41,INBO:IAS:FAL:D:41,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129899.02331,193357.27663,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0820977,51.0500317,WGS84,10,ICBN
42,INBO:IAS:FAL:D:42,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129889.0719,193358.26123,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0819557,51.0500402,WGS84,10,ICBN
43,INBO:IAS:FAL:D:43,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129879.12049,193359.24584,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0818137,51.0500487,WGS84,10,ICBN
44,INBO:IAS:FAL:D:44,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129869.16908,193360.23044,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0816718,51.0500572,WGS84,10,ICBN
45,INBO:IAS:FAL:D:45,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129859.21767,193361.21505,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0815298,51.0500657,WGS84,10,ICBN
46,INBO:IAS:FAL:D:46,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129849.26626,193362.19965,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0813878,51.0500742,WGS84,10,ICBN
47,INBO:IAS:FAL:D:47,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,129839.279,193362.67430,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.0812454,51.0500781,WGS84,10,ICBN
