WaarnemerNaam1;WaarnemerNaam2;WaarnemerNaam3;PoelCode;Datum;SoortNaamNl;Exuvium;Teneral;Mannetje;Wijfje;Adult onbepaald;Tandem;Eiafzettend;Opmerking_Poel;Opmerking_Soort
Simon Feys;;;HEI_039;29/05/2009;Grote keizerlibel;;;1;;;;;;
Simon Feys;;;HEI_039;29/05/2009;Platbuik;;;1;;;;;;
Simon Feys;;;HEI_039;29/05/2009;Viervlek;;;;;1;;;;
Ward Vercruysse;;;HEI_039;1/07/2009;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;HEI_039;1/07/2009;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;HEI_039;1/07/2009;Kleine roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;HEI_039;1/07/2009;Lantaarntje;;;;;2;;;;
Ward Vercruysse;;;HEI_039;21/08/2009;Bruinrode heidelibel;;;3;;;;;;
Ward Vercruysse;;;HEI_039;21/08/2009;Kleine roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;HEI_039;21/08/2009;Paardenbijter;;;2;;;;;;
Simon Feys;;;HEI_040;29/05/2009;Azuurwaterjuffer;;;25;5;;;;;Tandems gezien, niet geteld
Simon Feys;;;HEI_040;29/05/2009;Lantaarntje;;;;;5;;;;
Simon Feys;;;HEI_040;29/05/2009;Platbuik;;;1;;;;;;
Simon Feys;;;HEI_040;29/05/2009;Viervlek;;;;;1;;;;
Ward Vercruysse;;;HEI_040;1/07/2009;Bruinrode heidelibel;;3;;;;;;;
Ward Vercruysse;;;HEI_040;1/07/2009;Gewone oeverlibel;;;2;;;;;;
Ward Vercruysse;;;HEI_040;1/07/2009;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;HEI_040;21/08/2009;Bruinrode heidelibel;;;2;;;;;;
Ward Vercruysse;;;HEI_040;21/08/2009;Kleine roodoogjuffer;;;2;;;;;;
Ward Vercruysse;;;HEI_040;21/08/2009;Lantaarntje;;;;;4;;;;
Simon Feys;;;HOS_001;5/06/2008;Lantaarntje;;;;1;1;;x;;
Simon Feys;;;HOS_001;5/06/2008;Gewone oeverlibel;;;1;;;;;;
Simon Feys;;;HOS_001;5/06/2008;Grote keizerlibel;;;1;;;;;;
Simon Feys;;;HOS_001;5/06/2008;Watersnuffel;;;;1;;;;;
Simon Feys;;;HOS_001;3/07/2008;Gaffelwaterjuffer;;;1;1;;;;;Tandems gezien, niet geteld
Simon Feys;;;HOS_001;3/07/2008;Lantaarntje;;;1;1;15;;;;Tandems gezien, niet geteld
Simon Feys;;;HOS_001;3/07/2008;Azuurwaterjuffer;;;1;;;;;;
Simon Feys;;;HOS_001;3/07/2008;Gewone oeverlibel;;;2;;;;;;
Simon Feys;;;HOS_001;3/07/2008;Heidelibel spec;;1;;;;;;;
Ward Vercruysse;;;HOS_002;5/06/2008;Azuurwaterjuffer;;1;100;50;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;5/06/2008;Gaffelwaterjuffer;;;100;51;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;5/06/2008;Lantaarntje;;1;5;5;200;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;4/09/2008;Bruinrode heidelibel;;;10;4;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;5/06/2008;Watersnuffel;;;32;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;5/06/2008;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_002;5/06/2008;Grote keizerlibel;;;;1;;;;;
Ward Vercruysse;;;HOS_002;5/06/2008;Viervlek;;;;;2;;;;
Ward Vercruysse;;;HOS_002;3/07/2008;Azuurwaterjuffer;;;7;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;3/07/2008;Gaffelwaterjuffer;;;70;20;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;3/07/2008;Grote keizerlibel;;;3;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;3/07/2008;Lantaarntje;;;2;2;50;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_002;3/07/2008;Bruinrode heidelibel;;10;;;;;;;
Ward Vercruysse;;;HOS_002;3/07/2008;Gewone oeverlibel;;;2;;;;;;
Ward Vercruysse;;;HOS_002;3/07/2008;Watersnuffel;;;10;;;;;;
Ward Vercruysse;;;HOS_002;4/09/2008;Lantaarntje;;;;;3;;;;
Ward Vercruysse;;;HOS_002;4/09/2008;Tengere grasjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_002;4/09/2008;Watersnuffel;;;1;;;;;;
Ward Vercruysse;;;HOS_002;4/09/2008;Zwervende pantserjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_003;5/06/2008;Lantaarntje;;;;1;20;;x;;
Ward Vercruysse;;;HOS_003;4/09/2008;Bruinrode heidelibel;;;9;1;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_003;5/06/2008;Azuurwaterjuffer;;5;120;25;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_003;5/06/2008;Gaffelwaterjuffer;;;70;20;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_003;5/06/2008;Grote keizerlibel;5;;;;;;;;
Ward Vercruysse;;;HOS_003;5/06/2008;Watersnuffel;;;10;;;;;;
Ward Vercruysse;;;HOS_003;3/07/2008;Azuurwaterjuffer;;;3;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_003;3/07/2008;Gaffelwaterjuffer;;;28;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_003;3/07/2008;Lantaarntje;;;22;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_003;3/07/2008;Bruinrode heidelibel;;6;;;;;;;
Ward Vercruysse;;;HOS_003;3/07/2008;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_003;3/07/2008;Watersnuffel;;;20;;;;;;
Ward Vercruysse;;;HOS_003;4/09/2008;Kleine roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_003;4/09/2008;Lantaarntje;;;2;;3;;;;
Ward Vercruysse;;;HOS_003;4/09/2008;Watersnuffel;;;2;;;;;;
Simon Feys;;;HOS_004;5/06/2008;Platbuik;;;1;1;;;x;;
Simon Feys;;;HOS_004;5/06/2008;Azuurwaterjuffer;;;11;7;;;;;Tandems gezien, niet geteld
Simon Feys;;;HOS_004;5/06/2008;Lantaarntje;;;;;2;;;;
Simon Feys;;;HOS_004;5/06/2008;Watersnuffel;;;1;;;;;;
Simon Feys;;;HOS_004;3/07/2008;Lantaarntje;;;;;2;;;;
Ward Vercruysse;;;HOS_004;1/09/2008;Lantaarntje;;;3;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_004;1/09/2008;Zwervende pantserjuffer;;;6;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_004;1/09/2008;Bruinrode heidelibel;;;2;;;;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Venwitsnuitlibel;;;3;1;;;x;;Waarnemingen buiten telronde (~15 minuten)
Ward Vercruysse;;;HOS_005;30/05/2012;Bruine winterjuffer;;;37;2;8;;x;;
Ward Vercruysse;;;HOS_005;30/05/2012;Lantaarntje;;;;1;14;;x;;
Ward Vercruysse;;;HOS_005;4/07/2012;Azuurwaterjuffer;;;32;;;37;x;;
Ward Vercruysse;;;HOS_005;4/07/2012;Gaffelwaterjuffer;;;4;1;;10;x;;
Ward Vercruysse;;;HOS_005;4/07/2012;Grote keizerlibel;;;3;2;;;x;;
Ward Vercruysse;;;HOS_005;4/07/2012;Zwervende heidelibel;;;5;;;2;x;;
Ward Vercruysse;;;HOS_005;10/08/2012;Grote keizerlibel;;;2;1;;;x;;
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Azuurwaterjuffer;;1;26;1;;;;;Tandems gezien, niet geteld
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Lantaarntje;;;1;1;10;;;;Tandems gezien, niet geteld
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Bruine winterjuffer;;;;1;;;;;
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Gewone oeverlibel;;;2;;;;;;
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Grote keizerlibel;;;;;2;;;;
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Viervlek;;;;;1;;;;
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Vuurlibel;;;;;1;;;;
Wouter Van Gompel;Ward Vercruysse;David Berten;HOS_005;14/06/2007;Watersnuffel;;;1;;;;;;
Ward Vercruysse;;;HOS_005;18/07/2007;Gewone oeverlibel;;;4;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_005;18/07/2007;Lantaarntje;;5;1;1;20;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_005;18/07/2007;Bruine winterjuffer;;1;1;;50;;;;
Ward Vercruysse;;;HOS_005;18/07/2007;Bruinrode heidelibel;;7;1;;;;;;
Ward Vercruysse;;;HOS_005;18/07/2007;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_005;18/07/2007;Vuurlibel;;;2;;;;;;
Ward Vercruysse;;;HOS_005;18/07/2007;Watersnuffel;;;40;;;;;;
Ward Vercruysse;;;HOS_005;18/07/2007;Zwervende heidelibel;;;5;;;;;;
Ward Vercruysse;;;HOS_005;28/08/2007;Lantaarntje;;;3;7;1;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_005;28/08/2007;Bruine winterjuffer;;;3;8;2;;;;
Ward Vercruysse;;;HOS_005;28/08/2007;Bruinrode heidelibel;;;2;1;;;;;
Ward Vercruysse;;;HOS_005;28/08/2007;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_005;28/08/2007;Paardenbijter;;;1;;;;;;
Ward Vercruysse;;;HOS_005;28/08/2007;Watersnuffel;;;10;;;;;;
Ward Vercruysse;;;HOS_005;28/08/2007;Zwervende heidelibel;;2;;;;;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Gewone oeverlibel;;;;1;;;;;Waarnemingen buiten telronde (~15 minuten)
Ward Vercruysse;;;HOS_005;30/05/2012;Vuurjuffer;;;;1;;1;;;Waarnemingen buiten telronde (~15 minuten)
Ward Vercruysse;;;HOS_005;30/05/2012;Azuurwaterjuffer;;;69;;;33;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Gaffelwaterjuffer;;;1;;;1;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Gewone oeverlibel;;;4;;;;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Tengere grasjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Venwitsnuitlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Viervlek;;;;;34;;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Watersnuffel;;;48;;;5;;;
Ward Vercruysse;;;HOS_005;30/05/2012;Zwervende heidelibel;;;2;;;;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Bloedrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Bruinrode heidelibel;;;;;2;;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Gewone oeverlibel;;;9;;;;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Kleine roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Lantaarntje;;;41;;;8;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Viervlek;;;;;6;;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Vuurjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_005;4/07/2012;Watersnuffel;;;69;;;3;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Azuurwaterjuffer;;;4;;;;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Bruine winterjuffer;;;16;9;10;;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Bruinrode heidelibel;;17;3;;;1;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Gewone oeverlibel;;;2;;;;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Kleine roodoogjuffer;;;2;;;;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Lantaarntje;;;;2;29;2;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Tengere grasjuffer;;1;;;;;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Watersnuffel;;;112;1;;3;;;
Ward Vercruysse;;;HOS_005;10/08/2012;Zwervende heidelibel;;3;;;;;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Viervlek;;;;1;14;;x;;
Ward Vercruysse;;;HOS_006;4/07/2012;Kleine roodoogjuffer;;;18;1;;7;x;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Gewone oeverlibel;;;1;1;;;x;;Tandems gezien, niet geteld
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Lantaarntje;;;1;1;5;;x;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;HOS_006;30/06/2008;Kleine roodoogjuffer;;;600;200;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;HOS_006;30/06/2008;Watersnuffel;;;32;2;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;HOS_006;30/06/2008;Gewone oeverlibel;;;1;1;;;x;;
Ward Vercruysse;;;HOS_006;1/09/2008;Bruinrode heidelibel;;;7;3;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_006;1/09/2008;Blauwe glazenmaker;;;;1;;;x;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Azuurwaterjuffer;;;550;500;;;;;Tandems gezien, niet geteld
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Watersnuffel;;;21;1;;;;;Tandems gezien, niet geteld
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Bruine winterjuffer;;;;;1;;;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Gaffelwaterjuffer;;;5;;;;;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Grote keizerlibel;;;2;;;;;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Platbuik;;;3;;;;;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Smaragdlibel;;;1;;;;;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Viervlek;;;;;1;;;;
Simon Feys;Ward Vercruysse;;HOS_006;22/05/2008;Vuurjuffer;;;;;1;;;;
Ward Vercruysse;Simon Feys;;HOS_006;30/06/2008;Azuurwaterjuffer;;;10;5;;;;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;HOS_006;30/06/2008;Gaffelwaterjuffer;;;1;1;;;;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;HOS_006;30/06/2008;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;Simon Feys;;HOS_006;30/06/2008;Lantaarntje;;;;;5;;;;
Ward Vercruysse;;;HOS_006;1/09/2008;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_006;1/09/2008;Kleine roodoogjuffer;;;30;;;;;;
Ward Vercruysse;;;HOS_006;1/09/2008;Lantaarntje;;;;1;2;;;;
Ward Vercruysse;;;HOS_006;1/09/2008;Paardenbijter;;;1;;;;;;
Ward Vercruysse;;;HOS_006;1/09/2008;Watersnuffel;;;20;;;;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Venwitsnuitlibel;;;3;;;;;;Waarnemingen buiten telronde (~15 minuten)
Ward Vercruysse;;;HOS_006;30/05/2012;Azuurwaterjuffer;;;13;;;9;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Bruine winterjuffer;;;;;;1;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Grote roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Lantaarntje;;;;;9;;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Venwitsnuitlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_006;30/05/2012;Watersnuffel;;;15;;;7;;;
Ward Vercruysse;;;HOS_006;4/07/2012;Azuurwaterjuffer;;;24;;;14;;;
Ward Vercruysse;;;HOS_006;4/07/2012;Gaffelwaterjuffer;;;;1;;4;;;
Ward Vercruysse;;;HOS_006;4/07/2012;Gewone oeverlibel;;;5;;;;;;
Ward Vercruysse;;;HOS_006;4/07/2012;Grote keizerlibel;;;;1;;;;;
Ward Vercruysse;;;HOS_006;4/07/2012;Lantaarntje;;;44;;;3;;;
Ward Vercruysse;;;HOS_006;4/07/2012;Viervlek;;;;;3;;;;
Ward Vercruysse;;;HOS_006;4/07/2012;Watersnuffel;;;52;;;5;;;
Ward Vercruysse;;;HOS_006;10/08/2012;Bruine winterjuffer;;;;1;;;;;
Ward Vercruysse;;;HOS_006;10/08/2012;Bruinrode heidelibel;;;4;;;2;;;
Ward Vercruysse;;;HOS_006;10/08/2012;Grote keizerlibel;;;3;;;;;;
Ward Vercruysse;;;HOS_006;10/08/2012;Kleine roodoogjuffer;;;65;;;7;;;
Ward Vercruysse;;;HOS_006;10/08/2012;Lantaarntje;;;;;8;;;;
Ward Vercruysse;;;HOS_006;10/08/2012;Paardenbijter;;;;;1;;;;
Ward Vercruysse;;;HOS_006;10/08/2012;Watersnuffel;;;72;;;;;;
Ward Vercruysse;;;HOS_007;24/05/2007;Azuurwaterjuffer;;1;33;3;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_007;24/05/2007;Platbuik;;;1;;;;;;
Ward Vercruysse;;;HOS_007;8/07/2007;Bloedrode heidelibel;;1;4;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_007;8/07/2007;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_007;8/07/2007;Kleine roodoogjuffer;;;4;;;;;;
Ward Vercruysse;;;HOS_007;8/07/2007;Lantaarntje;;;1;;1;;;;
Ward Vercruysse;;;HOS_007;28/08/2007;Bruinrode heidelibel;;;;;1;;;;
Ward Vercruysse;;;HOS_008;23/05/2008;Tengere grasjuffer;;;7;3;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_008;23/05/2008;Gaffelwaterjuffer;;;10;5;;;x;;
Ward Vercruysse;;;HOS_008;23/05/2008;Platbuik;;;3;1;;;x;;
Ward Vercruysse;;;HOS_008;23/07/2008;Gewone oeverlibel;;;3;2;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_008;23/07/2008;Kleine roodoogjuffer;;;70;20;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_008;23/05/2008;Azuurwaterjuffer;;;15;10;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_008;23/05/2008;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_008;23/05/2008;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;HOS_008;23/05/2008;Watersnuffel;;;5;;;;;;
Ward Vercruysse;;;HOS_008;23/07/2008;Gaffelwaterjuffer;;;2;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_008;23/07/2008;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;HOS_008;23/07/2008;Vuurlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_008;23/07/2008;Watersnuffel;;;3;;;;;;
Ward Vercruysse;;;HOS_008;30/08/2008;Bruinrode heidelibel;;;4;1;;;;zeer troebel;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_009;24/05/2007;Azuurwaterjuffer;;1;21;2;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_009;24/05/2007;Lantaarntje;;1;;;;;;;
Ward Vercruysse;;;HOS_009;18/07/2007;Bloedrode heidelibel;;;5;5;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_009;18/07/2007;Bruinrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;HOS_009;18/07/2007;Tengere grasjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_009;28/08/2007;Bloedrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;HOS_010;24/05/2007;Azuurwaterjuffer;;1;10;10;60;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_010;24/05/2007;Platbuik;;;2;3;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_010;24/05/2007;Lantaarntje;;;;;3;;;;
Ward Vercruysse;;;HOS_010;18/07/2007;Azuurwaterjuffer;;;10;;;;;;
Ward Vercruysse;;;HOS_010;18/07/2007;Bloedrode heidelibel;;;3;;;;;;
Ward Vercruysse;;;HOS_010;18/07/2007;Gaffelwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_010;18/07/2007;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_010;18/07/2007;Kleine roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;HOS_010;18/07/2007;Lantaarntje;;;;;5;;;;
Ward Vercruysse;;;HOS_010;18/07/2007;Tengere grasjuffer;;1;;1;;;;;
Ward Vercruysse;;;HOS_010;28/08/2007;Bloedrode heidelibel;;;;1;;;;;
Ward Vercruysse;;;HOS_010;28/08/2007;Bruine winterjuffer;;;;1;;;;;
Ward Vercruysse;;;HOS_010;28/08/2007;Lantaarntje;;;1;1;;;;;
Ward Vercruysse;;;HOS_012;24/05/2007;Azuurwaterjuffer;;;31;1;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_012;24/05/2007;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;HOS_012;24/05/2007;Platbuik;;;1;1;;;;;
Ward Vercruysse;;;HOS_012;18/07/2007;Bloedrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;HOS_012;18/07/2007;Bruinrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;HOS_012;28/08/2007;Paardenbijter;;;1;;;;;;
Ward Vercruysse;;;HOS_013;2/06/2009;Gewone oeverlibel;;;3;1;;;x;;
Wouter Van Gompel;;;HOS_013;2/07/2009;Grote keizerlibel;;;;1;;;x;;
Ward Vercruysse;;;HOS_013;2/06/2009;Azuurwaterjuffer;;;1;1;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_013;2/06/2009;Grote keizerlibel;;;1;1;;;;;
Ward Vercruysse;;;HOS_013;2/06/2009;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;HOS_013;2/06/2009;Watersnuffel;;;2;;;;;;
Wouter Van Gompel;;;HOS_013;2/07/2009;Gewone oeverlibel;;;2;1;;;;;Tandems gezien, niet geteld
Wouter Van Gompel;;;HOS_013;2/07/2009;Watersnuffel;;;3;1;;;;;Tandems gezien, niet geteld
Wouter Van Gompel;;;HOS_013;2/07/2009;Lantaarntje;;;;;1;;;;
Wouter Van Gompel;;;HOS_013;2/07/2009;Platbuik;;;3;;;;;;
Ward Vercruysse;;;HOS_013;14/08/2009;Watersnuffel;;;18;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;HOS_013;14/08/2009;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;HOS_013;14/08/2009;Lantaarntje;;;;;1;;;;
Simon Feys;;;HOS_014;2/07/2009;Platbuik;;;2;1;;;x;;Tandems gezien, niet geteld
Simon Feys;;;HOS_014;2/07/2009;Grote keizerlibel;;;1;;;;;;
Simon Feys;;;HOS_014;2/07/2009;Kleine roodoogjuffer;;;2;;;;;;
Simon Feys;;;HOS_014;2/07/2009;Lantaarntje;;;;;1;;;;
Simon Feys;;;HOS_014;2/07/2009;Watersnuffel;;;1;;;;;;
Ward Vercruysse;;;HOS_014;14/08/2009;Lantaarntje;;;1;;2;;;;
Ward Vercruysse;;;HOS_014;14/08/2009;Watersnuffel;;;6;;;;;;
Simon Feys;;;HOS_015;23/05/2008;Azuurwaterjuffer;;;2;;;;;;
Ward Vercruysse;;;IJZ_001;12/06/2009;Gaffelwaterjuffer;;;8;6;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;IJZ_001;12/06/2009;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;IJZ_001;12/06/2009;Lantaarntje;;;;;5;;;;
Ward Vercruysse;;;IJZ_001;12/06/2009;Watersnuffel;;;4;;;;;;
Ward Vercruysse;;;IJZ_001;13/07/2009;Lantaarntje;;1;1;2;7;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;IJZ_001;13/07/2009;Azuurwaterjuffer;;;;1;;;;;
Ward Vercruysse;;;IJZ_001;13/07/2009;Bruinrode heidelibel;;4;;;;;;;
Ward Vercruysse;;;IJZ_001;13/07/2009;Gaffelwaterjuffer;;;1;1;;;;;
Ward Vercruysse;;;IJZ_001;13/07/2009;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;IJZ_001;13/07/2009;Kleine roodoogjuffer;;;2;;;;;;
Ward Vercruysse;;;IJZ_001;19/08/2009;Bruinrode heidelibel;;;1;1;1;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;IJZ_001;19/08/2009;Lantaarntje;;;2;1;12;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;IJZ_001;19/08/2009;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;IJZ_001;19/08/2009;Paardenbijter;;;1;;;;;;
Ward Vercruysse;;;IJZ_001;19/08/2009;Tengere grasjuffer;;;1;;;;;;
Ward Vercruysse;;;IJZ_001;19/08/2009;Watersnuffel;;;5;;;;;;
Simon Feys;;;IJZ_002;13/07/2009;Gaffelwaterjuffer;;;20;10;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;IJZ_002;19/08/2009;Tengere grasjuffer;;;10;1;;;x;;
Simon Feys;;;IJZ_002;12/06/2009;Azuurwaterjuffer;;;2;;;;;;
Simon Feys;;;IJZ_002;12/06/2009;Gaffelwaterjuffer;;;3;;;;;;
Ward Vercruysse;;;IJZ_002;19/08/2009;Lantaarntje;;;;;4;;;;
Ward Vercruysse;;;LEP_001;30/06/2008;Gewone oeverlibel;;;3;2;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;LEP_001;30/06/2008;Kleine roodoogjuffer;;;5;2;;;x;;Tandems gezien, niet geteld
Simon Feys;;;LEP_001;22/05/2008;Azuurwaterjuffer;;;15;10;;;;;Tandems gezien, niet geteld
Simon Feys;;;LEP_001;22/05/2008;Lantaarntje;;;1;1;15;;;;Tandems gezien, niet geteld
Simon Feys;;;LEP_001;22/05/2008;Gewone oeverlibel;;;1;;;;;;
Simon Feys;;;LEP_001;22/05/2008;Platbuik;;;1;;;;;;
Simon Feys;;;LEP_001;22/05/2008;Watersnuffel;;;30;;;;;;
Ward Vercruysse;;;LEP_001;30/06/2008;Gaffelwaterjuffer;;;10;5;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;LEP_001;30/06/2008;Lantaarntje;;1;1;1;10;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;LEP_001;30/06/2008;Watersnuffel;;;25;5;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;LEP_001;30/06/2008;Bruinrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;LEP_001;30/06/2008;Grote keizerlibel;;;1;;;;;;
