A;X;Y;A;longitude;latitude
A;80524.679856;227297.971356;A;3.37152204;51.35126206
A;80618.249856;227194.721856;A;3.37288483;51.35034543
A;79864.850356;227233.440356;A;3.36206465;51.35060215
A;79497.431356;226989.041856;A;3.35683927;51.34836086
A;78183.006356;226722.462856;A;3.33802885;51.34580271
A;78178.978356;226533.279356;A;3.33800871;51.34410201
A;77570.556356;227002.892856;A;3.32918369;51.34824626
A;77096.470856;227070.499856;A;3.32236640;51.34879404
A;77031.940356;227033.394356;A;3.32144781;51.34845240
A;77062.592356;227105.991856;A;3.32187302;51.34910872
A;76835.508356;226436.397856;A;3.31874988;51.34306226
A;77009.718356;226575.702356;A;3.32122151;51.34433629
A;76960.955856;226442.935856;A;3.32054866;51.34313693
A;77545.635856;227221.552356;A;3.32878213;51.35020823
A;76829.853856;226076.947356;A;3.31874164;51.33983114
A;77148.353856;226317.297356;A;3.32326309;51.34203154
A;77610.270356;226276.751856;A;3.32989934;51.34172539
A;76497.946356;225512.076356;A;3.31409434;51.33471236
A;73826.676356;225775.894856;A;3.27571460;51.33673631
A;73427.016856;226127.672356;A;3.26990589;51.33984475
A;72107.441856;225716.884356;A;3.25106096;51.33597611
A;72422.456856;225644.248856;A;3.25559612;51.33536584
A;72015.460356;226281.373356;A;3.24961929;51.34103669
A;70628.728356;225975.288356;A;3.22978900;51.33809653
A;70647.658356;225917.695856;A;3.23007327;51.33758156
A;70679.921856;225942.201356;A;3.23053078;51.33780623
A;70669.318356;225984.636856;A;3.23036932;51.33818614
A;70678.248856;226011.940856;A;3.23049145;51.33843274
A;70679.400856;226057.065356;A;3.23049806;51.33883843
A;76717.351356;227176.975856;A;3.31690394;51.34970283
A;74191.796856;226733.201356;A;3.28075199;51.34538777
A;77454.617856;224035.929856;A;3.32811624;51.32156732
A;71083.861356;224300.657856;A;3.23668524;51.32310925
A;71064.129856;224284.041856;A;3.23640586;51.32295722
A;71194.424356;224398.258356;A;3.23824975;51.32400152
A;70949.547856;224224.500856;A;3.23477544;51.32240643
A;70923.238856;224219.654356;A;3.23439916;51.32235926
A;70916.315356;224188.152856;A;3.23430676;51.32207521
A;70990.395856;224384.776856;A;3.23532625;51.32385242
A;70851.639356;224487.646856;A;3.23331347;51.32475787
A;70890.410356;224402.258856;A;3.23388830;51.32399581
A;80371.418856;225170.061856;A;3.36973306;51.33211976
A;79400.227356;225202.327356;A;3.35579387;51.33229155
A;79484.117856;225110.370856;A;3.35701534;51.33147540
A;79361.508856;225045.839856;A;3.35526903;51.33088043
A;79382.481356;224929.684356;A;3.35559262;51.32983910
A;79179.208856;224907.098356;A;3.35268101;51.32961116
A;77754.687356;224932.910856;A;3.33224061;51.32966630
A;76120.439856;225418.506356;A;3.30869746;51.33382316
A;76046.229356;224923.230856;A;3.30773427;51.32936257
A;75947.819356;224710.278856;A;3.30636624;51.32743611
A;75928.460356;224613.482356;A;3.30610841;51.32656371
A;75830.050356;225005.507856;A;3.30461624;51.33007421
A;75796.171856;224915.164856;A;3.30414881;51.32925793
A;75718.734356;224840.953856;A;3.30305323;51.32858101
A;75717.121356;224745.770856;A;3.30304967;51.32772539
A;75600.965356;224855.473356;A;3.30136085;51.32869631
A;75560.633856;225129.730356;A;3.30072574;51.33115586
A;71199.962856;224520.725356;A;3.23830246;51.32510288
A;70637.882356;224753.652356;A;3.23018897;51.32711905
A;70667.663856;224758.615856;A;3.23061507;51.32716775
A;70707.373356;224838.034356;A;3.23116723;51.32788695
A;70667.663856;224867.816356;A;3.23059107;51.32814913
A;70718.954856;224876.088856;A;3.23132500;51.32823054
A;70743.773356;224927.379856;A;3.23166975;51.32869490
A;70670.973356;224975.361856;A;3.23061491;51.32911609
A;70775.319356;225066.522356;A;3.23209174;51.32994970
A;70805.578356;224999.772856;A;3.23254045;51.32935399
A;70793.627356;224961.811856;A;3.23237734;51.32901119
A;70696.093856;224573.497356;A;3.23106354;51.32550802
A;70605.407356;225397.275856;A;3.22958157;51.33289877
A;80574.691356;225991.218856;A;3.37249129;51.33952415
A;80363.352356;225599.192856;A;3.36953454;51.33597545
A;80231.063856;225397.533856;A;3.36767553;51.33414711
A;78897.005356;225655.299356;A;3.34848530;51.33630059
A;78870.236856;225487.040856;A;3.34813441;51.33478513
A;78292.803856;225750.900856;A;3.33979758;51.33708489
A;78281.331856;225509.984856;A;3.33968086;51.33491832
A;78048.064356;225789.141356;A;3.33627851;51.33739804
A;78032.767856;225708.835856;A;3.33607506;51.33667442
A;77671.363356;226043.246856;A;3.33082278;51.33963454
A;77983.055356;225922.983356;A;3.33531907;51.33859277
A;78346.048856;226242.943856;A;3.34046381;51.34151355
A;70454.104856;225921.547356;A;3.22729541;51.33758948
A;78538.900356;228423.004856;A;3.34279908;51.36112981
A;78095.182356;228496.628356;A;3.33641479;51.36173623
A;77909.062856;228415.304856;A;3.33375926;51.36098211
A;77984.984856;228522.786856;A;3.33482765;51.36195755
A;35189.867356;204880.478356;A;2.72806974;51.14256287
A;34695.186356;204435.744856;A;2.72114379;51.13846788
A;34779.525856;204417.215856;A;2.72235440;51.13831818
A;34750.134856;204461.302356;A;2.72192060;51.13870851
A;34727.924856;204508.889856;A;2.72158827;51.13913172
A;34684.443856;204515.736356;A;2.72096498;51.13918458
A;34783.359356;204587.811356;A;2.72235514;51.13985199
A;34664.994856;204492.696356;A;2.72069446;51.13897365
A;34842.542356;204449.019356;A;2.72324449;51.13861653
A;34407.511856;204485.271856;A;2.71701877;51.13885553
A;34682.200356;204638.608356;A;2.72089399;51.14028832
A;34057.448356;204940.572856;A;2.71187316;51.14287699
A;35118.880856;203569.789856;A;2.72746942;51.13077030
A;35078.724856;203649.088856;A;2.72687087;51.13147494
A;34633.773356;203535.476356;A;2.72055192;51.13036540
A;34800.276356;203578.366856;A;2.72291634;51.13078402
A;36065.511356;203891.624856;A;2.74088868;51.13384969
A;35808.465356;203573.699356;A;2.73731699;51.13094196
A;36233.203856;205411.606856;A;2.74280858;51.14754203
A;35557.513356;205966.443356;A;2.73298018;51.15239472
A;35589.070856;205727.379856;A;2.73350631;51.15025263
A;35606.522356;205680.423356;A;2.73377043;51.14983411
A;54263.199356;216337.528856;A;2.99754642;51.24899853
A;54183.113356;216605.774356;A;2.99632866;51.25139590
A;54171.374856;216007.376356;A;2.99631889;51.24601629
A;53708.470356;216337.528856;A;2.98960301;51.24890624
A;53856.490356;216282.193856;A;2.99173726;51.24843364
A;53896.607856;216297.410856;A;2.99230767;51.24857707
A;53875.857356;216354.128856;A;2.99199549;51.24908333
A;53626.216856;216316.309356;A;2.98843083;51.24870182
A;53637.656856;216263.762356;A;2.98860862;51.24823150
A;53851.927856;216019.877856;A;2.99174156;51.24607551
A;53850.956856;215982.003856;A;2.99173771;51.24573499
A;53896.607856;215962.636856;A;2.99239650;51.24556854
A;53784.555356;215915.602356;A;2.99080458;51.24512719
A;53751.658856;215899.940356;A;2.99033772;51.24498095
A;53841.059356;215935.015356;A;2.99160846;51.24531106
A;53874.829356;216044.155856;A;2.99206303;51.24629751
A;53670.187856;215926.113356;A;2.98916424;51.24520257
A;53334.846856;216692.905356;A;2.98415809;51.25203745
A;53504.339856;217280.144356;A;2.98642879;51.25734316
A;57679.876356;219229.050356;A;3.04573455;51.27554079
A;54107.570856;217755.401856;A;2.99494240;51.26171474
A;54593.445356;218019.880356;A;3.00183206;51.26417208
A;55151.536355;218334.145356;A;3.00974390;51.26708832
A;55103.544856;218398.391356;A;3.00903957;51.26765778
A;55245.970356;218487.407356;A;3.01105654;51.26848116
A;54935.575856;218278.413356;A;3.00666489;51.26655192
A;58690.565856;220381.353856;A;3.05992466;51.28605717
A;58659.182356;220455.483356;A;3.05945618;51.28671838
A;58779.984856;220720.585856;A;3.06112056;51.28911991
A;59338.399856;220799.191356;A;3.06910408;51.28991439
A;50605.886356;215242.775856;A;2.94547668;51.23854205
A;49861.740856;215072.540356;A;2.93487052;51.23688358
A;45221.093356;211640.665356;A;2.86943007;51.20521913
A;43890.782356;211158.868356;A;2.85054021;51.20064657
A;44066.038856;211267.896856;A;2.85301527;51.20165853
A;44120.212356;211234.798356;A;2.85379984;51.20137102
A;43806.659856;211196.102856;A;2.84932602;51.20096572
A;43835.650856;211204.927856;A;2.84973813;51.20105036
A;43879.903856;211246.625356;A;2.85035894;51.20143321
A;43931.956856;211272.621356;A;2.85109592;51.20167638
A;43980.807856;211250.987356;A;2.85180103;51.20149094
A;47008.767356;212538.074356;A;2.89474914;51.21360536
A;48860.276856;213179.021356;A;2.92106240;51.21969258
A;66023.470856;224544.461856;A;3.16404815;51.32458506
A;65787.121856;224460.540356;A;3.16067770;51.32379638
A;65500.634356;224366.953856;A;3.15659051;51.32291339
A;66358.172856;224662.198856;A;3.16882160;51.32569182
A;70471.512856;225206.532356;A;3.22770274;51.33116611
A;70426.745356;225175.774356;A;3.22706731;51.33088351
A;70318.415356;225086.935356;A;3.22553288;51.33007015
A;70415.216856;225140.221856;A;3.22690977;51.33056241
A;70532.542356;225164.194856;A;3.22858756;51.33079405
A;70442.645356;225020.034856;A;3.22732973;51.32948608
A;70487.318356;225013.416856;A;3.22797202;51.32943278
A;70445.954356;224829.761856;A;3.22741913;51.32777657
A;70373.867856;225140.118856;A;3.22631662;51.33055577
A;70335.079356;225138.063856;A;3.22576064;51.33053194
A;66667.799856;224770.309356;A;3.17323784;51.32670825
A;65117.939356;224181.899856;A;3.15114511;51.32119410
A;65321.589356;224246.971356;A;3.15405065;51.32180885
A;39834.349856;208677.704856;A;2.79327042;51.17759029
A;39970.934356;208759.268856;A;2.79519843;51.17834928
A;39993.882856;208677.428356;A;2.79555131;51.17761819
A;42916.784856;210657.492356;A;2.83675605;51.19596119
A;38591.171356;205495.963856;A;2.77647225;51.14875919
A;38550.804356;205335.293356;A;2.77594472;51.14730754
A;38627.377856;205274.384856;A;2.77705741;51.14677493
A;38588.067356;205246.488856;A;2.77650431;51.14651667
A;38470.856356;205211.160856;A;2.77484053;51.14617660
A;38344.462856;205586.360856;A;2.77291955;51.14952397
A;38162.634856;205504.713356;A;2.77034668;51.14875510
A;38215.844856;205748.824856;A;2.77103191;51.15095911
A;25352.238856;197541.991356;A;2.59004812;51.07458126
A;25150.480356;197499.739356;A;2.58718462;51.07415811
A;24098.313355;198284.176356;A;2.57190557;51.08097948
A;23608.392856;198144.371856;A;2.56496468;51.07961644
A;23126.905356;198144.371856;A;2.55809587;51.07951115
A;23575.530356;197803.496856;A;2.56461400;51.07654609
A;23425.562356;197559.422856;A;2.56255940;51.07432003
A;24080.977856;198188.633856;A;2.57169123;51.08011714
A;39930.579856;208580.827356;A;2.79467555;51.17673803
A;39749.287856;208462.094856;A;2.79211974;51.17563648
A;33874.298356;204187.920356;A;2.70949693;51.13607659
A;33253.286355;203248.515356;A;2.70092791;51.12750969
A;33676.904356;203918.485356;A;2.70676353;51.13361567
A;33528.761856;204014.318356;A;2.70461695;51.13444706
A;33338.365856;203866.781856;A;2.70194478;51.13308287
A;33423.138356;203362.348356;A;2.70331713;51.12856690
A;33695.840356;203664.723356;A;2.70711509;51.13133906
A;33710.687856;203878.444356;A;2.70725886;51.13326264
A;33193.208356;203446.850856;A;2.70000629;51.12927989
A;33656.860356;203646.147856;A;2.70656430;51.13116430
A;33614.549856;203311.272856;A;2.70606708;51.12814645
A;33979.207856;203523.527856;A;2.71120723;51.13012712
A;23332.289856;198205.310356;A;2.56100468;51.08010371
A;23284.141356;198293.332356;A;2.56028722;51.08088416
A;23209.660856;198190.263856;A;2.55926049;51.07994167
A;23164.521356;198290.322856;A;2.55858174;51.08083093
A;23184.081856;198201.548856;A;2.55889166;51.08003747
A;23088.536856;198249.697356;A;2.55751187;51.08044921
A;23005.028856;198068.387356;A;2.55638366;51.07880162
A;22757.544856;198384.772356;A;2.55274281;51.08159039
A;22796.743356;198315.314856;A;2.55332625;51.08097484
A;22757.861356;198296.952356;A;2.55277796;51.08080129
A;22686.043356;198324.929856;A;2.55174363;51.08103691
A;24566.029856;196531.707856;A;2.57918061;51.06533282
A;24918.979356;196862.216856;A;2.58410095;51.06837920
A;24200.466856;196472.421356;A;2.57398756;51.06472078
A;23217.086356;197307.062356;A;2.55967335;51.07200666
A;23260.827356;197317.132856;A;2.56029375;51.07210673
A;23247.787356;197305.834356;A;2.56011168;51.07200235
A;23261.172356;197345.223356;A;2.56028891;51.07235924
A;26059.596856;196940.191356;A;2.60034262;51.06932509
A;26075.418856;196876.403856;A;2.60058994;51.06875526
A;26039.225856;197059.195356;A;2.60001164;51.07039014
A;25397.137856;196709.348856;A;2.59097290;51.06710854
A;25863.904356;197011.040856;A;2.59752738;51.06991986
A;25222.120856;196561.852856;A;2.58852721;51.06574542
A;25334.223856;196792.796856;A;2.59004710;51.06784489
A;25586.098856;197036.954356;A;2.59355620;51.07009312
A;25633.807856;196984.333856;A;2.59425461;51.06963051
A;25915.193856;196955.884356;A;2.59827768;51.06943520
A;25119.434856;196669.634856;A;2.58702585;51.06669185
A;25643.405856;196907.914856;A;2.59441755;51.06894584
A;26732.547356;200548.195356;A;2.60872129;51.10189137
A;26734.086356;200496.138856;A;2.60876086;51.10142390
A;25946.686356;200460.652356;A;2.59753466;51.10093679
A;24265.721856;196328.823356;A;2.57496764;51.06344454
A;24386.827356;196113.446356;A;2.57676884;51.06153537
A;24470.488856;196158.580356;A;2.57794636;51.06195909
A;24020.645856;196282.885856;A;2.57148849;51.06297849
A;23813.296356;196217.108856;A;2.56855426;51.06234227
A;23869.751356;195859.564356;A;2.56948287;51.05914157
A;23935.900356;195965.302356;A;2.57038962;51.06010616
A;23930.364356;195996.147356;A;2.57030002;51.06038213
A;23892.646356;196083.102356;A;2.56973213;51.06115533
A;27038.234856;198407.050856;A;2.61380647;51.08271540
A;26926.813355;199151.192856;A;2.61196568;51.08937883
A;26811.959856;199158.972856;A;2.61032421;51.08942432
A;26767.252856;199101.972356;A;2.60970555;51.08890258
A;26767.033856;199026.409856;A;2.60972796;51.08822351
A;26602.279356;198922.955856;A;2.60741214;51.08725875
A;26769.758856;198941.222356;A;2.60979563;51.08745857
A;26579.617356;198817.335356;A;2.60712454;51.08630478
A;26680.820856;198992.086356;A;2.60850942;51.08789671
A;26805.680856;199002.568356;A;2.61028745;51.08801749
A;26883.637856;199093.518356;A;2.61136908;51.08885137
A;26710.053356;198947.478356;A;2.60894161;51.08750208
A;26818.673856;199076.887356;A;2.61044774;51.08868810
A;26843.619856;199019.199356;A;2.61082317;51.08817501
A;26271.248856;199205.525356;A;2.60259300;51.08972736
A;26911.440356;199188.086356;A;2.61173387;51.08970710
A;24185.658356;198559.014856;A;2.57305685;51.08346822
A;24346.125356;199028.461356;A;2.57518449;51.08772161
A;23936.309856;198505.775356;A;2.56951779;51.08293557
A;23114.098856;199286.260856;A;2.55751589;51.08976955
A;23339.289856;199379.422356;A;2.56069675;51.09065602
A;22956.879856;198405.428356;A;2.55557940;51.08181977
A;22869.766856;198422.706856;A;2.55433059;51.08195592
A;22849.090856;198445.715856;A;2.55402759;51.08215814
A;22797.543856;198419.202356;A;2.55330144;51.08190857
A;22783.606856;199067.822856;A;2.55287635;51.08773411
A;22783.845356;198999.764856;A;2.55290349;51.08712258
A;22724.683356;198933.420856;A;2.55208252;51.08651340
A;22550.789856;199126.266356;A;2.54953403;51.08820809
A;22568.383356;199137.364356;A;2.54978118;51.08831169
A;22575.571356;199142.875856;A;2.54988182;51.08836280
A;22582.761356;199145.851856;A;2.54998337;51.08839112
A;22724.093856;199083.384356;A;2.55202177;51.08786087
A;23078.374356;199261.066856;A;2.55701491;51.08953532
A;27188.458856;199395.665356;A;2.61561677;51.09163130
A;27042.849856;200027.523856;A;2.61332585;51.09727847
A;27089.318356;199343.161856;A;2.61421976;51.09113845
A;26982.849356;199405.995856;A;2.61267929;51.09168048
A;26358.025356;200137.312356;A;2.60351520;51.09811919
A;26052.901356;199389.496856;A;2.59941484;51.09133387
A;23091.808856;195066.944356;A;2.55866522;51.05184898
A;22830.820356;194610.891856;A;2.55510301;51.04769355
A;21721.844856;195064.235356;A;2.53913425;51.05152296
A;22031.599356;196360.146856;A;2.54309628;51.06323679
A;22051.466856;195783.082356;A;2.54358185;51.05805556
A;22116.488356;195419.143356;A;2.54463647;51.05479948
A;22445.207356;195513.063356;A;2.54929060;51.05571593
A;22682.715856;195900.482356;A;2.55254202;51.05924961
A;21776.932356;198169.004856;A;2.53882892;51.07943516
A;21831.116856;196281.579356;A;2.54026484;51.06248645
A;21943.098356;196119.025856;A;2.54191877;51.06105048
A;21699.268356;198323.430356;A;2.53766668;51.08080565
A;21841.953856;198577.194356;A;2.53961308;51.08311760
A;21876.270856;198415.543856;A;2.54015946;51.08167258
A;77684.547356;227580.534356;A;3.33070376;51.35345187
A;77827.567856;227878.928356;A;3.33269677;51.35615148
A;78142.404356;228152.459356;A;3.33716127;51.35864908
A;78158.724856;228080.960356;A;3.33740979;51.35800855
A;78777.223856;228304.407856;A;3.34624367;51.36009351
A;71769.912856;222960.616356;A;3.24681560;51.31115983
A;71869.831856;222993.647356;A;3.24824123;51.31147023
A;54167.167856;216160.141356;A;2.99621823;51.24738846
A;54194.799356;216179.992356;A;2.99660864;51.24757144
A;54215.129356;216170.726856;A;2.99690219;51.24749155
A;54232.261356;216160.325356;A;2.99715026;51.24740092
A;54248.680856;216152.207856;A;2.99738751;51.24733069
A;56187.247856;218606.593356;A;3.02450997;51.26970609
A;30779.070356;202199.346356;A;2.66593736;51.11757689
A;44032.192856;211320.686356;A;2.85251570;51.20212672
A;44109.729356;211462.293356;A;2.85358351;51.20341350
A;29299.036356;200621.315356;A;2.64532858;51.10308933
A;76589.048856;225029.335356;A;3.31549956;51.33038555
A;76611.956356;225035.026356;A;3.31582702;51.33043961
A;78805.383856;226625.336856;A;3.34697937;51.34500709
A;77824.277856;226515.057356;A;3.33292248;51.34389391
A;76802.955356;227806.739856;A;3.31800466;51.35537340
A;77972.092356;228091.745856;A;3.33472869;51.35808217
A;30684.570856;202290.427356;A;2.66455827;51.11837590
A;78571.557356;228531.481856;A;3.34324638;51.36210875
A;78715.462856;228413.854356;A;3.34533546;51.36106946
A;78964.538356;228149.351356;A;3.34896308;51.35872315
A;79604.483856;228248.872356;A;3.35812967;51.35969613
A;79678.866856;228254.944356;A;3.35919623;51.35975979
A;79722.889356;228210.415856;A;3.35983684;51.35936498
A;79825.102356;228215.981856;A;3.36130298;51.35942747
A;79490.425356;228895.009856;A;3.35636602;51.36548903
A;77970.228856;227592.568356;A;3.33480166;51.35359582
A;77706.295856;227655.312856;A;3.33100092;51.35412663
A;77656.816856;227808.985356;A;3.33025992;51.35550148
A;77108.299856;227976.990856;A;3.32235293;51.35694218
A;77153.191356;227704.070856;A;3.32305243;51.35449513
A;77325.615356;227674.993356;A;3.32553309;51.35425559
A;77369.486356;227691.827856;A;3.32615938;51.35441242
A;53285.873356;217364.887856;A;2.98327728;51.25806815
A;53447.564356;217232.258856;A;2.98562842;51.25690333
A;77964.971356;227469.851856;A;3.33475071;51.35249230
A;78224.905356;227691.094856;A;3.33843736;51.35451307
A;78374.659356;227687.279856;A;3.34058754;51.35449743
A;78544.809356;227742.978856;A;3.34301867;51.35501914
A;78650.866856;227750.609356;A;3.34453943;51.35510086
A;78766.843856;227734.585856;A;3.34620724;51.35497121
A;78186.874856;227355.711356;A;3.33795829;51.35149423
A;78453.712856;227387.733356;A;3.34178163;51.35181522
A;78802.804856;227622.632356;A;3.34674550;51.35396953
A;79330.365856;227872.520356;A;3.35426856;51.35628026
A;78665.703356;227584.952356;A;3.34478515;51.35361393
A;78581.603356;227457.445356;A;3.34360333;51.35245760
A;78755.229356;227944.412356;A;3.34599908;51.35685550
A;78985.826356;227932.204356;A;3.34931142;51.35677426
A;23619.161856;195803.212856;A;2.56592907;51.05858057
A;24034.270856;195994.128856;A;2.57178243;51.06038660
A;24279.543356;196030.588356;A;2.57526746;51.06076751
A;25335.229356;196671.931856;A;2.59010273;51.06675898
A;25364.150356;196685.166856;A;2.59051068;51.06688413
A;25378.855356;196663.108356;A;2.59072794;51.06668907
A;25429.343856;196665.069356;A;2.59144734;51.06671755
A;25421.501356;196687.617356;A;2.59132779;51.06691849
A;25387.678856;196641.050356;A;2.59086131;51.06649275
A;25473.950356;196702.812856;A;2.59207064;51.06706632
A;25466.107356;196682.225356;A;2.59196580;51.06687963
A;25613.161356;196806.731356;A;2.59402067;51.06803008
A;53977.122356;216259.908356;A;2.99347053;51.24825345
A;22620.437856;199172.293856;A;2.55051172;51.08863703
A;22621.765356;199164.329356;A;2.55053344;51.08856575
A;57569.928856;219957.564356;A;3.04397309;51.28207015
A;33817.199356;202833.570856;A;2.70911363;51.12389433
A;33649.448356;203002.772356;A;2.70666408;51.12538114
A;77416.689356;227618.377356;A;3.32685167;51.35375827
A;77629.270856;228050.161856;A;3.32981614;51.35766547
A;23603.133856;196314.756856;A;2.56552341;51.06317394
A;78042.413856;227597.153856;A;3.33583680;51.35364605
A;78181.660856;227607.717356;A;3.33783327;51.35375837
A;78298.898856;227357.278356;A;3.33956576;51.35152227
A;78996.976856;227653.812856;A;3.34952629;51.35427372
A;79268.748356;227982.244356;A;3.35336260;51.35725879
A;79230.335356;227755.607356;A;3.35285571;51.35521728
A;79803.649356;228271.301856;A;3.36098426;51.35992202
A;38052.674356;205538.310856;A;2.76876524;51.14903575
A;38790.172856;205329.833856;A;2.77936635;51.14730456
A;71038.391356;224894.256356;A;3.23590323;51.32843767
A;78828.963356;227949.823856;A;3.34705637;51.35691325
A;78926.818356;227941.669356;A;3.34846257;51.35685205
A;78879.055856;227658.587856;A;3.34783283;51.35430209
A;56102.145356;218982.452356;A;3.02319326;51.27306999
A;23505.962356;196376.788856;A;2.56411617;51.06371017
A;59421.825856;221047.034856;A;3.07023768;51.29215481
A;26329.064856;200729.655356;A;2.60290088;51.10343595
A;28716.374856;200385.325856;A;2.63709059;51.10084685
A;28708.571856;200408.523356;A;2.63697150;51.10105368
A;33432.912856;203444.219356;A;2.70343050;51.12930460
A;33436.977856;203441.759356;A;2.70348935;51.12928331
A;33342.823356;203396.224856;A;2.70215926;51.12885514
A;33392.080356;203409.415856;A;2.70285850;51.12898361
A;33239.750855;203438.456856;A;2.70067369;51.12921386
A;33262.372856;203470.766356;A;2.70098640;51.12950877
A;33290.161856;203479.552856;A;2.70138046;51.12959334
A;77294.496356;227724.000356;A;3.32507656;51.35469209
A;78305.698356;228017.311856;A;3.33953212;51.35745486
A;78276.222356;228037.463356;A;3.33910502;51.35763229
A;78283.338856;228021.823356;A;3.33921028;51.35749262
A;77673.126856;227843.984356;A;3.33048701;51.35581806
A;77415.951356;227592.100356;A;3.32684636;51.35352202
A;77514.376856;227574.108856;A;3.32826265;51.35337273
A;77391.033856;227747.891356;A;3.32645736;51.35491898
A;77376.875356;227749.277856;A;3.32625386;51.35492965
