taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
2498010	Tadorna cana (Gmelin, 1789)	2498010	Tadorna cana (Gmelin, 1789)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Tadorna	7485221	Tadorna cana	2498010
7191099	Branta hutchinsii hutchinsii	7191099	Branta hutchinsii hutchinsii	103	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Branta	2498190	Branta hutchinsii	5232452
2481342	Uria aalge (Pontoppidan, 1763)	2481342	Uria aalge (Pontoppidan, 1763)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Alcidae	2985	Uria	2481338	Uria aalge	2481342
2480863	Nycticorax nycticorax (Linnaeus, 1758)	2480863	Nycticorax nycticorax (Linnaeus, 1758)	53	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Nycticorax	7824892	Nycticorax nycticorax	2480863
2498073	Anas discors Linnaeus, 1766	2498073	Anas discors Linnaeus, 1766	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056	Anas discors	2498073
2498273	Clangula hyemalis (Linnaeus, 1758)	2498273	Clangula hyemalis (Linnaeus, 1758)	58	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Clangula	2498272	Clangula hyemalis	2498273
2482054	Podiceps cristatus (Linnaeus, 1758)	2482054	Podiceps cristatus (Linnaeus, 1758)	29990	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podiceps	2482049	Podiceps cristatus	2482054
2481728	Tringa ochropus Linnaeus, 1758	2481728	Tringa ochropus Linnaeus, 1758	2562	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa ochropus	2481728
2498015	Tadorna ferruginea (Pallas, 1764)	2498015	Tadorna ferruginea (Pallas, 1764)	587	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Tadorna	7485221	Tadorna ferruginea	2498015
2481164	Larus sabini Sabine, 1819	2481221	Xema sabini (Sabine, 1819)	3	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Xema	2481220	Xema sabini	2481221
2498387	Aix sponsa Linnaeus, 1758	2498387	Aix sponsa Linnaeus, 1758	352	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Aix	2498386	Aix sponsa	2498387
