scientificName,genus,species,scientificName 3,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
Anser cygnoides,Anser,cygnoides,,2498034,"Anser cygnoides (Linnaeus, 1758)",Anser cygnoides,Aves,212,99,Anatidae,2986,Anser,2498016,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anser cygnoides (Linnaeus, 1758)",Anser cygnoides,2498034,ACCEPTED,False,2498034
Anser indicus,Anser,indicus,,2498035,"Anser indicus (Latham, 1790)",Anser indicus,Aves,212,99,Anatidae,2986,Anser,2498016,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anser indicus (Latham, 1790)",Anser indicus,2498035,ACCEPTED,False,2498035
Anser unox,Anser,unox,,,,,,,,,,,,,,NONE,,,,,,,,,,,
Anthus pratensis,Anthus,pratensis,,2490266,"Anthus pratensis (Linnaeus, 1758)",Anthus pratensis,Aves,212,99,Motacillidae,5257,Anthus,2490241,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Anthus pratensis (Linnaeus, 1758)",Anthus pratensis,2490266,ACCEPTED,False,2490266
Anthus trivialis,Anthus,trivialis,,2490246,"Anthus trivialis (Linnaeus, 1758)",Anthus trivialis,Aves,212,99,Motacillidae,5257,Anthus,2490241,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Anthus trivialis (Linnaeus, 1758)",Anthus trivialis,2490246,ACCEPTED,False,2490246
Apus apus,Apus,apus,,5228676,"Apus apus (Linnaeus, 1758)",Apus apus,Aves,212,99,Apodidae,2993,Apus,2235048,Animalia,1,EXACT,Apodiformes,1448,Chordata,44,SPECIES,"Apus apus (Linnaeus, 1758)",Apus apus,5228676,ACCEPTED,False,5228676
Ardeae cinerea,Ardeae,cinerea,,,,,,,,,,,,,,NONE,,,,,,,,,,,
Asio otus,Asio,otus,,2497306,"Asio otus (Linnaeus, 1758)",Asio otus,Aves,212,99,Strigidae,9348,Asio,8373955,Animalia,1,EXACT,Strigiformes,1450,Chordata,44,SPECIES,"Asio otus (Linnaeus, 1758)",Asio otus,2497306,ACCEPTED,False,2497306
Athena noctua,Athena,noctua,,,,,,,,,,,,,,NONE,,,,,,,,,,,
Aythya ferina,Aythya,ferina,,2498255,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Aves,212,99,Anatidae,2986,Aythya,2498254,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,2498255,ACCEPTED,False,2498255
Aythya fuligula,Aythya,fuligula,,2498261,"Aythya fuligula (Linnaeus, 1758)",Aythya fuligula,Aves,212,99,Anatidae,2986,Aythya,2498254,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Aythya fuligula (Linnaeus, 1758)",Aythya fuligula,2498261,ACCEPTED,False,2498261
Botaurus stellaris,Botaurus,stellaris,,2480910,"Botaurus stellaris (Linnaeus, 1758)",Botaurus stellaris,Aves,212,99,Ardeidae,3685,Botaurus,2480909,Animalia,1,EXACT,Pelecaniformes,7190953,Chordata,44,SPECIES,"Botaurus stellaris (Linnaeus, 1758)",Botaurus stellaris,2480910,ACCEPTED,False,2480910
Branta canadensis,Branta,canadensis,,5232437,"Branta canadensis (Linnaeus, 1758)",Branta canadensis,Aves,212,99,Anatidae,2986,Branta,2498190,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Branta canadensis (Linnaeus, 1758)",Branta canadensis,5232437,ACCEPTED,False,5232437
Branta leucopsis,Branta,leucopsis,,5232464,"Branta leucopsis (Bechstein, 1803)",Branta leucopsis,Aves,212,99,Anatidae,2986,Branta,2498190,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Branta leucopsis (Bechstein, 1803)",Branta leucopsis,5232464,ACCEPTED,False,5232464
Buteo buteo,Buteo,buteo,,2480537,"Buteo buteo (Linnaeus, 1758)",Buteo buteo,Aves,212,99,Accipitridae,2877,Buteo,2480517,Animalia,1,EXACT,Accipitriformes,7191147,Chordata,44,SPECIES,"Buteo buteo (Linnaeus, 1758)",Buteo buteo,2480537,ACCEPTED,False,2480537
Cairina moschata,Cairina,moschata,,2498283,"Cairina moschata (Linnaeus, 1758)",Cairina moschata,Aves,212,99,Anatidae,2986,Cairina,2498282,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Cairina moschata (Linnaeus, 1758)",Cairina moschata,2498283,ACCEPTED,False,2498283
Caprimulgus europaeus,Caprimulgus,europaeus,,8109681,"Caprimulgus europaeus Linnaeus, 1758",Caprimulgus europaeus,Aves,212,99,Caprimulgidae,5225,Caprimulgus,2496826,Animalia,1,EXACT,Caprimulgiformes,8510645,Chordata,44,SPECIES,"Caprimulgus europaeus Linnaeus, 1758",Caprimulgus europaeus,8109681,ACCEPTED,False,8109681
Carduelis cannabina,Carduelis,cannabina,,8104397,"Linaria cannabina (Linnaeus, 1758)",Carduelis cannabina,Aves,212,99,Fringillidae,5242,Linaria,8741507,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Carduelis cannabina (Linnaeus, 1758)",Linaria cannabina,8104397,SYNONYM,True,2494708
Carduelis carduelis,Carduelis,carduelis,,2494686,"Carduelis carduelis (Linnaeus, 1758)",Carduelis carduelis,Aves,212,99,Fringillidae,5242,Carduelis,2494621,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Carduelis carduelis (Linnaeus, 1758)",Carduelis carduelis,2494686,ACCEPTED,False,2494686
Carduelis chloris,Carduelis,chloris,,5845582,"Chloris chloris (Linnaeus, 1758)",Carduelis chloris,Aves,212,99,Fringillidae,5242,Chloris,3241514,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Carduelis chloris (Linnaeus, 1758)",Chloris chloris,5845582,SYNONYM,True,2494642
Carduelis flammea,Carduelis,flammea,,5231630,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Aves,212,99,Fringillidae,5242,Acanthis,6782561,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Carduelis flammea (Linnaeus, 1758)",Acanthis flammea,5231630,SYNONYM,True,2494622
Carduelis spinus,Carduelis,spinus,,6092830,"Spinus spinus (Linnaeus, 1758)",Carduelis spinus,Aves,212,99,Fringillidae,5242,Spinus,8051475,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Carduelis spinus (Linnaeus, 1758)",Spinus spinus,6092830,SYNONYM,True,2494701
Carduelis….,Carduelis….,,,2494621,"Carduelis Brisson, 1760",Carduelis,Aves,212,95,Fringillidae,5242,Carduelis,2494621,Animalia,1,EXACT,Passeriformes,729,Chordata,44,GENUS,"Carduelis Brisson, 1760",,,ACCEPTED,False,2494621
Certhia brachydactyla,Certhia,brachydactyla,,7806848,"Certhia brachydactyla C. L. Brehm, 1820",Certhia brachydactyla,Aves,212,99,Certhiidae,5227,Certhia,2487601,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Certhia brachydactyla C. L. Brehm, 1820",Certhia brachydactyla,7806848,ACCEPTED,False,7806848
Cettia cetti,Cettia,cetti,,2493012,"Cettia cetti (Temminck, 1820)",Cettia cetti,Aves,212,99,Cettiidae,6100900,Cettia,2492997,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Cettia cetti (Temminck, 1820)",Cettia cetti,2493012,ACCEPTED,False,2493012
Charadrius dubius,Charadrius,dubius,,7937336,"Charadrius dubius Scopoli, 1786",Charadrius dubius,Aves,212,99,Charadriidae,2480210,Charadrius,2480277,Animalia,1,EXACT,Charadriiformes,7192402,Chordata,44,SPECIES,"Charadrius dubius Scopoli, 1786",Charadrius dubius,7937336,ACCEPTED,False,7937336
Charadrius hiaticula,Charadrius,hiaticula,,2480278,"Charadrius hiaticula Linnaeus, 1758",Charadrius hiaticula,Aves,212,99,Charadriidae,2480210,Charadrius,2480277,Animalia,1,EXACT,Charadriiformes,7192402,Chordata,44,SPECIES,"Charadrius hiaticula Linnaeus, 1758",Charadrius hiaticula,2480278,ACCEPTED,False,2480278
Ciconia ciconia,Ciconia,ciconia,,2481912,"Ciconia ciconia (Linnaeus, 1758)",Ciconia ciconia,Aves,212,99,Ciconiidae,9289,Ciconia,2481908,Animalia,1,EXACT,Ciconiiformes,839,Chordata,44,SPECIES,"Ciconia ciconia (Linnaeus, 1758)",Ciconia ciconia,2481912,ACCEPTED,False,2481912
Ciconia nigra,Ciconia,nigra,,2481909,"Ciconia nigra (Linnaeus, 1758)",Ciconia nigra,Aves,212,99,Ciconiidae,9289,Ciconia,2481908,Animalia,1,EXACT,Ciconiiformes,839,Chordata,44,SPECIES,"Ciconia nigra (Linnaeus, 1758)",Ciconia nigra,2481909,ACCEPTED,False,2481909
Cignus atratus,Cignus,atratus,,,,,,,,,,,,,,NONE,,,,,,,,,,,
Circus aeruginosus,Circus,aeruginosus,,2480482,"Circus aeruginosus (Linnaeus, 1758)",Circus aeruginosus,Aves,212,99,Accipitridae,2877,Circus,2480481,Animalia,1,EXACT,Accipitriformes,7191147,Chordata,44,SPECIES,"Circus aeruginosus (Linnaeus, 1758)",Circus aeruginosus,2480482,ACCEPTED,False,2480482
Circus cyaneus,Circus,cyaneus,,2480487,"Circus cyaneus (Linnaeus, 1766)",Circus cyaneus,Aves,212,99,Accipitridae,2877,Circus,2480481,Animalia,1,EXACT,Accipitriformes,7191147,Chordata,44,SPECIES,"Circus cyaneus (Linnaeus, 1766)",Circus cyaneus,2480487,ACCEPTED,False,2480487
Cisticola juncidis,Cisticola,juncidis,,2492822,"Cisticola juncidis (Rafinesque, 1810)",Cisticola juncidis,Aves,212,99,Cisticolidae,9293,Cisticola,2492786,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Cisticola juncidis (Rafinesque, 1810)",Cisticola juncidis,2492822,ACCEPTED,False,2492822
Coccothraustes coccothraustes,Coccothraustes,coccothraustes,,2494329,"Coccothraustes coccothraustes (Linnaeus, 1758)",Coccothraustes coccothraustes,Aves,212,99,Fringillidae,5242,Coccothraustes,2494310,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Coccothraustes coccothraustes (Linnaeus, 1758)",Coccothraustes coccothraustes,2494329,ACCEPTED,False,2494329
Columba livia,Columba,livia,,2495414,"Columba livia Gmelin, 1789",Columba livia,Aves,212,99,Columbidae,5233,Columba,2495404,Animalia,1,EXACT,Columbiformes,1446,Chordata,44,SPECIES,"Columba livia Gmelin, 1789",Columba livia,2495414,ACCEPTED,False,2495414
Columba oenas,Columba,oenas,,2495471,"Columba oenas Linnaeus, 1758",Columba oenas,Aves,212,99,Columbidae,5233,Columba,2495404,Animalia,1,EXACT,Columbiformes,1446,Chordata,44,SPECIES,"Columba oenas Linnaeus, 1758",Columba oenas,2495471,ACCEPTED,False,2495471
Columba palumbus,Columba,palumbus,,2495455,"Columba palumbus Linnaeus, 1758",Columba palumbus,Aves,212,99,Columbidae,5233,Columba,2495404,Animalia,1,EXACT,Columbiformes,1446,Chordata,44,SPECIES,"Columba palumbus Linnaeus, 1758",Columba palumbus,2495455,ACCEPTED,False,2495455
Corvus corone,Corvus,corone,,2482501,"Corvus corone Linnaeus, 1758",Corvus corone,Aves,212,99,Corvidae,5235,Corvus,2482468,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Corvus corone Linnaeus, 1758",Corvus corone,2482501,ACCEPTED,False,2482501
Corvus frugilegus,Corvus,frugilegus,,2482513,"Corvus frugilegus Linnaeus, 1758",Corvus frugilegus,Aves,212,99,Corvidae,5235,Corvus,2482468,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Corvus frugilegus Linnaeus, 1758",Corvus frugilegus,2482513,ACCEPTED,False,2482513
Corvus monedula,Corvus,monedula,,6100954,"Coloeus monedula (Linnaeus, 1758)",Corvus monedula,Aves,212,99,Corvidae,5235,Coloeus,4852454,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Corvus monedula Linnaeus, 1758",Coloeus monedula,6100954,SYNONYM,True,2482473
Coturnix coturnix,Coturnix,coturnix,,2474156,"Coturnix coturnix (Linnaeus, 1758)",Coturnix coturnix,Aves,212,99,Phasianidae,9331,Coturnix,2474126,Animalia,1,EXACT,Galliformes,723,Chordata,44,SPECIES,"Coturnix coturnix (Linnaeus, 1758)",Coturnix coturnix,2474156,ACCEPTED,False,2474156
Cuculus canorus,Cuculus,canorus,,5231918,"Cuculus canorus Linnaeus, 1758",Cuculus canorus,Aves,212,99,Cuculidae,9309,Cuculus,2496214,Animalia,1,EXACT,Cuculiformes,1492,Chordata,44,SPECIES,"Cuculus canorus Linnaeus, 1758",Cuculus canorus,5231918,ACCEPTED,False,5231918
Cygnus olor,Cygnus,olor,,2498343,"Cygnus olor (Gmelin, 1789)",Cygnus olor,Aves,212,99,Anatidae,2986,Cygnus,7784676,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Cygnus olor (Gmelin, 1789)",Cygnus olor,2498343,ACCEPTED,False,2498343
Delichon urbica,Delichon,urbica,,2489214,"Delichon urbicum (Linnaeus, 1758)",Delichon urbicum,Aves,212,96,Hirundinidae,5248,Delichon,2489213,Animalia,1,FUZZY,Passeriformes,729,Chordata,44,SPECIES,"Delichon urbicum (Linnaeus, 1758)",Delichon urbicum,2489214,ACCEPTED,False,2489214
Dendrocopus major,Dendrocopus,major,,7840991,Dendrocopus major,Dendrocopus major,,,99,,,Dendrocopus,3242198,Animalia,1,EXACT,,,,,SPECIES,Dendrocopus major,Dendrocopus major,7840991,ACCEPTED,False,7840991
Dendrocopus medius,Dendrocopus,medius,,,,,,,,,,,,,,NONE,,,,,,,,,,,
Dendrocopus minor,Dendrocopus,minor,,8779129,Dendrocopus minor,Dendrocopus minor,,,99,,,,,,,EXACT,,,,,SPECIES,Dendrocopus minor,,,ACCEPTED,False,8779129
Dryocopus martius,Dryocopus,martius,,2477872,"Dryocopus martius (Linnaeus, 1758)",Dryocopus martius,Aves,212,99,Picidae,9333,Dryocopus,2477865,Animalia,1,EXACT,Piciformes,724,Chordata,44,SPECIES,"Dryocopus martius (Linnaeus, 1758)",Dryocopus martius,2477872,ACCEPTED,False,2477872
Egretta garzetta,Egretta,garzetta,,2480876,"Egretta garzetta (Linnaeus, 1766)",Egretta garzetta,Aves,212,99,Ardeidae,3685,Egretta,2480872,Animalia,1,EXACT,Pelecaniformes,7190953,Chordata,44,SPECIES,"Egretta garzetta (Linnaeus, 1766)",Egretta garzetta,2480876,ACCEPTED,False,2480876
Emberiza citrinella,Emberiza,citrinella,,2491534,"Emberiza citrinella Linnaeus, 1758",Emberiza citrinella,Aves,212,99,Emberizidae,9608,Emberiza,2491468,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Emberiza citrinella Linnaeus, 1758",Emberiza citrinella,2491534,ACCEPTED,False,2491534
Emberiza schoeniclus,Emberiza,schoeniclus,,2491557,"Emberiza schoeniclus (Linnaeus, 1758)",Emberiza schoeniclus,Aves,212,99,Emberizidae,9608,Emberiza,2491468,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Emberiza schoeniclus (Linnaeus, 1758)",Emberiza schoeniclus,2491557,ACCEPTED,False,2491557
Erithacus rubecula,Erithacus,rubecula,,,,,,,,,,,,,,NONE Multiple equal matches for Erithacus rubecula,,,,,,,,,,,
Falco peregrinus,Falco,peregrinus,,2481047,"Falco peregrinus Tunstall, 1771",Falco peregrinus,Aves,212,99,Falconidae,5240,Falco,2480996,Animalia,1,EXACT,Falconiformes,7191407,Chordata,44,SPECIES,"Falco peregrinus Tunstall, 1771",Falco peregrinus,2481047,ACCEPTED,False,2481047
Falco subbuteo,Falco,subbuteo,,2481035,"Falco subbuteo Linnaeus, 1758",Falco subbuteo,Aves,212,99,Falconidae,5240,Falco,2480996,Animalia,1,EXACT,Falconiformes,7191407,Chordata,44,SPECIES,"Falco subbuteo Linnaeus, 1758",Falco subbuteo,2481035,ACCEPTED,False,2481035
Falco tinnunculus,Falco,tinnunculus,,2481042,"Falco tinnunculus Linnaeus, 1758",Falco tinnunculus,Aves,212,99,Falconidae,5240,Falco,2480996,Animalia,1,EXACT,Falconiformes,7191407,Chordata,44,SPECIES,"Falco tinnunculus Linnaeus, 1758",Falco tinnunculus,2481042,ACCEPTED,False,2481042
Ficedula hypoleuca,Ficedula,hypoleuca,,2492606,"Ficedula hypoleuca (Pallas, 1764)",Ficedula hypoleuca,Aves,212,99,Muscicapidae,9322,Ficedula,2492596,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Ficedula hypoleuca (Pallas, 1764)",Ficedula hypoleuca,2492606,ACCEPTED,False,2492606
Fringilla coelebs,Fringilla,coelebs,,8097467,"Fringilla coelebs Linnaeus, 1758",Fringilla coelebs,Aves,212,99,Fringillidae,5242,Fringilla,2494421,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Fringilla coelebs Linnaeus, 1758",Fringilla coelebs,8097467,ACCEPTED,False,8097467
Fringilla montifringilla,Fringilla,montifringilla,,2494441,"Fringilla montifringilla Linnaeus, 1758",Fringilla montifringilla,Aves,212,99,Fringillidae,5242,Fringilla,2494421,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Fringilla montifringilla Linnaeus, 1758",Fringilla montifringilla,2494441,ACCEPTED,False,2494441
Fulica atra,Fulica,atra,,2474377,"Fulica atra Linnaeus, 1758",Fulica atra,Aves,212,99,Rallidae,9342,Fulica,2474376,Animalia,1,EXACT,Gruiformes,1493,Chordata,44,SPECIES,"Fulica atra Linnaeus, 1758",Fulica atra,2474377,ACCEPTED,False,2474377
Galerida cristata,Galerida,cristata,,2490669,"Galerida cristata (Linnaeus, 1758)",Galerida cristata,Aves,212,99,Alaudidae,7211,Galerida,2490666,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Galerida cristata (Linnaeus, 1758)",Galerida cristata,2490669,ACCEPTED,False,2490669
Gallinago gallinago,Gallinago,gallinago,,2481819,"Gallinago gallinago (Linnaeus, 1758)",Gallinago gallinago,Aves,212,99,Scolopacidae,5282,Gallinago,2481808,Animalia,1,EXACT,Charadriiformes,7192402,Chordata,44,SPECIES,"Gallinago gallinago (Linnaeus, 1758)",Gallinago gallinago,2481819,ACCEPTED,False,2481819
Gallinula chloropus,Gallinula,chloropus,,5228199,"Gallinula chloropus (Linnaeus, 1758)",Gallinula chloropus,Aves,212,99,Rallidae,9342,Gallinula,7918617,Animalia,1,EXACT,Gruiformes,1493,Chordata,44,SPECIES,"Gallinula chloropus (Linnaeus, 1758)",Gallinula chloropus,5228199,ACCEPTED,False,5228199
Garrulus glandarius,Garrulus,glandarius,,5229493,"Garrulus glandarius (Linnaeus, 1758)",Garrulus glandarius,Aves,212,99,Corvidae,5235,Garrulus,2482462,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Garrulus glandarius (Linnaeus, 1758)",Garrulus glandarius,5229493,ACCEPTED,False,5229493
Haematopus ostralegus,Haematopus,ostralegus,,7788295,"Haematopus ostralegus Linnaeus, 1758",Haematopus ostralegus,Aves,212,99,Haematopodidae,4287243,Haematopus,2480260,Animalia,1,EXACT,Charadriiformes,7192402,Chordata,44,SPECIES,"Haematopus ostralegus Linnaeus, 1758",Haematopus ostralegus,7788295,ACCEPTED,False,7788295
Hippolais icterina,Hippolais,icterina,,2493220,"Hippolais icterina (Vieillot, 1817)",Hippolais icterina,Aves,212,99,Acrocephalidae,6101019,Hippolais,2493213,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Hippolais icterina (Vieillot, 1817)",Hippolais icterina,2493220,ACCEPTED,False,2493220
Hirundo rustica,Hirundo,rustica,,5230791,"Hirundo rustica Linnaeus, 1758",Hirundo rustica,Aves,212,99,Hirundinidae,5248,Hirundo,2489222,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Hirundo rustica Linnaeus, 1758",Hirundo rustica,5230791,ACCEPTED,False,5230791
