occurrenceid,type,modified,language,license,rightsholder,accessrights,datasetid,institutioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,dynamicproperties,sex,lifestage,organismid,organismname,samplingprotocol,samplingeffort,eventdate,minimumelevationinmeters,minimumdistanceabovesurfaceinmeters,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,scientificname,kingdom,phylum,class,_order,family,genus,specificepithet,taxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode
586:20130517140810,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1204}",2013-05-17T14:08:10Z,0,-10,51.2787895,3.5956276,WGS84,31,2013-05-17T14:08:10Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517142824,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1214}",2013-05-17T14:28:24Z,0,-16,51.2788232,3.5957442,WGS84,34,2013-05-17T14:28:24Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517144846,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1222}",2013-05-17T14:48:46Z,0,0,51.2788436,3.5957181,WGS84,78,2013-05-17T14:48:46Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517150938,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1252}",2013-05-17T15:09:38Z,0,-14,51.2789596,3.595684,WGS84,12,2013-05-17T15:09:38Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517152942,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1204}",2013-05-17T15:29:42Z,0,4,51.2789228,3.5956889,WGS84,16,2013-05-17T15:29:42Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517154952,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1210}",2013-05-17T15:49:52Z,0,-2,51.2788945,3.5956459,WGS84,14,2013-05-17T15:49:52Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517161025,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1233}",2013-05-17T16:10:25Z,0,-1,51.2788786,3.595632,WGS84,17,2013-05-17T16:10:25Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517163040,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1215}",2013-05-17T16:30:40Z,0,7,51.2787379,3.5956963,WGS84,37,2013-05-17T16:30:40Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517165114,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1234}",2013-05-17T16:51:14Z,0,12,51.2784491,3.5957361,WGS84,40,2013-05-17T16:51:14Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517171131,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1217}",2013-05-17T17:11:31Z,0,25,51.2785533,3.5958516,WGS84,60,2013-05-17T17:11:31Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517173308,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1297}",2013-05-17T17:33:08Z,0,-1,51.2792951,3.5949927,WGS84,22,2013-05-17T17:33:08Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517175344,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1236}",2013-05-17T17:53:44Z,0,0,51.2787365,3.5955985,WGS84,30,2013-05-17T17:53:44Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517181427,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1243}",2013-05-17T18:14:27Z,0,2,51.2788594,3.5956438,WGS84,14,2013-05-17T18:14:27Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517183509,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1242}",2013-05-17T18:35:09Z,0,-1,51.2788728,3.5956338,WGS84,9,2013-05-17T18:35:09Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517185518,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1209}",2013-05-17T18:55:18Z,0,0,51.2788765,3.5956503,WGS84,9,2013-05-17T18:55:18Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517195530,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3612}",2013-05-17T19:55:30Z,0,-126,51.2790988,3.5955403,WGS84,14,2013-05-17T19:55:30Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517205639,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3669}",2013-05-17T20:56:39Z,0,2,51.2788584,3.5956169,WGS84,14,2013-05-17T20:56:39Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517215638,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3599}",2013-05-17T21:56:38Z,0,1,51.2788033,3.5956249,WGS84,17,2013-05-17T21:56:38Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517225639,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3601}",2013-05-17T22:56:39Z,0,-11,51.2787946,3.5956965,WGS84,16,2013-05-17T22:56:39Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517235709,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3630}",2013-05-17T23:57:09Z,0,-2,51.2788507,3.595644,WGS84,8,2013-05-17T23:57:09Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518015710,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":7201}",2013-05-18T01:57:10Z,0,-2,51.2788994,3.5957056,WGS84,19,2013-05-18T01:57:10Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518025738,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3628}",2013-05-18T02:57:38Z,0,1,51.2788499,3.5956139,WGS84,30,2013-05-18T02:57:38Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518035742,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3604}",2013-05-18T03:57:42Z,0,-2,51.2788465,3.5956201,WGS84,12,2013-05-18T03:57:42Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518045742,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3600}",2013-05-18T04:57:42Z,0,-18,51.2795508,3.5976016,WGS84,28,2013-05-18T04:57:42Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518055808,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3626}",2013-05-18T05:58:08Z,0,7,51.2788265,3.5956283,WGS84,7,2013-05-18T05:58:08Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518061829,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1221}",2013-05-18T06:18:29Z,0,-7,51.2788084,3.5956584,WGS84,9,2013-05-18T06:18:29Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518063829,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1200}",2013-05-18T06:38:29Z,0,-3,51.2788185,3.5956512,WGS84,6,2013-05-18T06:38:29Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518065857,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1228}",2013-05-18T06:58:57Z,0,-3,51.2788441,3.5956365,WGS84,6,2013-05-18T06:58:57Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518071901,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1204}",2013-05-18T07:19:01Z,0,-7,51.2788627,3.5956238,WGS84,14,2013-05-18T07:19:01Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518073917,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1216}",2013-05-18T07:39:17Z,0,-4,51.2786775,3.5957661,WGS84,27,2013-05-18T07:39:17Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518075918,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1201}",2013-05-18T07:59:18Z,0,-10,51.2803237,3.5962448,WGS84,12,2013-05-18T07:59:18Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518081938,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1220}",2013-05-18T08:19:38Z,0,-1,51.2788792,3.5956296,WGS84,5,2013-05-18T08:19:38Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518083948,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1210}",2013-05-18T08:39:48Z,0,0,51.2788791,3.5956151,WGS84,6,2013-05-18T08:39:48Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130518085949,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1201}",2013-05-18T08:59:49Z,0,-3,51.2788716,3.5956441,WGS84,9,2013-05-18T08:59:49Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
