occurrenceid,type,language,license,rightsholder,accessrights,datasetid,institutioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,dynamicproperties,sex,lifestage,organismid,organismname,samplingprotocol,samplingeffort,eventdate,minimumelevationinmeters,minimumdistanceabovesurfaceinmeters,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,georeferencesources,georeferenceverificationstatus,scientificname,kingdom,phylum,class,_order,family,taxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode
703:20130531094823,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":624}",2013-05-31T09:48:23Z,0,8,51.3431769,3.1852136,WGS84,8,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531095602,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":459}",2013-05-31T09:56:02Z,0,4,51.3431784,3.1852791,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531100209,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":367}",2013-05-31T10:02:09Z,0,-14,51.3432339,3.1853503,WGS84,9,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531100917,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":428}",2013-05-31T10:09:17Z,0,5,51.3431827,3.1852449,WGS84,22,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531101640,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":443}",2013-05-31T10:16:40Z,0,4,51.3431848,3.185264,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531102441,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":481}",2013-05-31T10:24:41Z,0,-51,51.3420633,3.1866209,WGS84,12,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531102529,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":48}",2013-05-31T10:25:29Z,0,-65,51.3421988,3.1868349,WGS84,11,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531103015,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":286}",2013-05-31T10:30:15Z,0,-57,51.3421082,3.1866434,WGS84,9,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531103744,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":449}",2013-05-31T10:37:44Z,0,-74,51.342214,3.1866382,WGS84,12,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531104457,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":433}",2013-05-31T10:44:57Z,0,93,51.3441866,3.1833907,WGS84,15,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531104631,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":94}",2013-05-31T10:46:31Z,0,25,51.3430492,3.1851269,WGS84,34,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531105132,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":301}",2013-05-31T10:51:32Z,0,-300,51.3449194,3.1865276,WGS84,62,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531105400,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":148}",2013-05-31T10:54:00Z,0,4,51.3432141,3.1852627,WGS84,12,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531110114,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":434}",2013-05-31T11:01:14Z,0,-2,51.3432306,3.1852916,WGS84,20,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531110720,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":366}",2013-05-31T11:07:20Z,0,1,51.3432083,3.1852581,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531111237,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":317}",2013-05-31T11:12:37Z,0,5,51.3431722,3.1852333,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531111759,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":322}",2013-05-31T11:17:59Z,0,-11,51.3431305,3.1851101,WGS84,12,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531112528,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":449}",2013-05-31T11:25:28Z,0,-32,51.343272,3.1851923,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531113056,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":328}",2013-05-31T11:30:56Z,0,-59,51.3431537,3.1850642,WGS84,94,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531113759,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":423}",2013-05-31T11:37:59Z,0,-18,51.3430605,3.1850855,WGS84,14,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531114247,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":288}",2013-05-31T11:42:47Z,0,-7,51.3430168,3.1848684,WGS84,15,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531114959,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":432}",2013-05-31T11:49:59Z,0,-14,51.3430377,3.1849345,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531115726,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":447}",2013-05-31T11:57:26Z,0,-17,51.3431088,3.1851309,WGS84,12,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531120308,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":342}",2013-05-31T12:03:08Z,0,40,51.3424481,3.1812861,WGS84,96,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531120804,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":296}",2013-05-31T12:08:04Z,0,6,51.3431559,3.1852211,WGS84,8,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531122040,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":756}",2013-05-31T12:20:40Z,0,-333,51.3460564,3.185605,WGS84,100,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531122127,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":47}",2013-05-31T12:21:27Z,0,65,51.343437,3.1849559,WGS84,17,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531122847,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":440}",2013-05-31T12:28:47Z,0,19,51.3431757,3.1852185,WGS84,56,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531123410,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":323}",2013-05-31T12:34:10Z,0,4,51.343156,3.1852521,WGS84,11,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531124146,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":456}",2013-05-31T12:41:46Z,0,4,51.343144,3.1852378,WGS84,14,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531124632,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":286}",2013-05-31T12:46:32Z,0,6,51.3431352,3.1852257,WGS84,15,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531130059,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":867}",2013-05-31T13:00:59Z,0,8,51.3431562,3.1852349,WGS84,18,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531130821,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":442}",2013-05-31T13:08:21Z,0,6,51.3431576,3.1852443,WGS84,14,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531131551,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":450}",2013-05-31T13:15:51Z,0,34,51.3432228,3.1851118,WGS84,14,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531132353,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":482}",2013-05-31T13:23:53Z,0,11,51.3432694,3.1851378,WGS84,50,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531132846,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":293}",2013-05-31T13:28:46Z,0,-185,51.3419443,3.1882949,WGS84,72,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531133120,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":154}",2013-05-31T13:31:20Z,0,-150,51.3424506,3.1873108,WGS84,26,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531133835,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":435}",2013-05-31T13:38:35Z,0,-244,51.343555,3.187459,WGS84,63,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531134824,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":589}",2013-05-31T13:48:24Z,0,270,51.3441047,3.1814999,WGS84,42,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531135115,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":171}",2013-05-31T13:51:15Z,0,13,51.3432404,3.1851808,WGS84,30,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531135818,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":423}",2013-05-31T13:58:18Z,0,-29,51.3434952,3.1853693,WGS84,18,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531140527,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":429}",2013-05-31T14:05:27Z,0,174,51.3440766,3.1841763,WGS84,23,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
