OBJECTID,occurrenceID,type,language,lisence,rightHolder,accessRights,datasetID,institutionCode,datasetName,basisOfRecord,"recordedBy""",District,Waterbody,zone,habitat,Vegtype2,Vegtype3,managementAction,Opmerking,Lengte,kingdom,Species,scientificNameAuthorship,taxonRank,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,verbatimSRS,ownerInstitutionCode,EventDate,continent,countryCode,coordinateUncertaintyInMeters,decimalLongitude,decimalLatitude,coordinateSystem,nomenclaturalCode
11,INBO:IAS:FAL:D:11,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114248,9283","188058,267",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.859432983,51.00164772,WGS84,ICBN
12,INBO:IAS:FAL:D:12,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114247,4064","188058,2994",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.859411298,51.00164792,WGS84,ICBN
13,INBO:IAS:FAL:D:13,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130175,8701","193316,3692",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.086047991,51.04967347,WGS84,ICBN
14,INBO:IAS:FAL:D:14,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130166,1088","193318,541",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.085908669,51.04969266,WGS84,ICBN
15,INBO:IAS:FAL:D:15,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130156,3381","193320,6685",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.085769216,51.04971145,WGS84,ICBN
16,INBO:IAS:FAL:D:16,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130146,5323","193322,6296",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.08562927,51.04972874,WGS84,ICBN
17,INBO:IAS:FAL:D:17,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130136,7265","193324,5908",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.085489325,51.04974604,WGS84,ICBN
18,INBO:IAS:FAL:D:18,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130126,8627","193326,1869",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.085348572,51.04976005,WGS84,ICBN
19,INBO:IAS:FAL:D:19,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130116,9321","193327,3636",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.08520689,51.04977029,WGS84,ICBN
20,INBO:IAS:FAL:D:20,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130107,0016","193328,5404",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.085065209,51.04978053,WGS84,ICBN
21,INBO:IAS:FAL:D:21,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130097,0711","193329,7171",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.084923527,51.04979076,WGS84,ICBN
22,INBO:IAS:FAL:D:22,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130087,1406","193330,8939",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.084781845,51.049801,WGS84,ICBN
23,INBO:IAS:FAL:D:23,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130077,2222","193332,168",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.084640331,51.04981212,WGS84,ICBN
24,INBO:IAS:FAL:D:24,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130067,3056","193333,4568",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.084498841,51.04982336,WGS84,ICBN
25,INBO:IAS:FAL:D:25,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130057,389","193334,7456",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.084357352,51.04983461,WGS84,ICBN
26,INBO:IAS:FAL:D:26,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130047,4762","193336,0622",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.084215916,51.0498461,WGS84,ICBN
27,INBO:IAS:FAL:D:27,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130037,5823","193337,5153",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.084074741,51.04985882,WGS84,ICBN
28,INBO:IAS:FAL:D:28,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130027,6885","193338,9684",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.083933567,51.04987154,WGS84,ICBN
29,INBO:IAS:FAL:D:29,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130017,7946","193340,4215",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.083792392,51.04988427,WGS84,ICBN
30,INBO:IAS:FAL:D:30,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"130007,9007","193341,8746",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.083651218,51.04989699,WGS84,ICBN
31,INBO:IAS:FAL:D:31,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129998,0069","193343,3277",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.083510043,51.04990971,WGS84,ICBN
32,INBO:IAS:FAL:D:32,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129988,113","193344,7807",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.083368869,51.04992243,WGS84,ICBN
33,INBO:IAS:FAL:D:33,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129978,2691","193346,5396",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.083228389,51.0499379,WGS84,ICBN
34,INBO:IAS:FAL:D:34,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129968,4268","193348,3085",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.083087932,51.04995346,WGS84,ICBN
35,INBO:IAS:FAL:D:35,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129958,5805","193350,0516",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.08294742,51.04996879,WGS84,ICBN
36,INBO:IAS:FAL:D:36,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129948,665","193351,349",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.082805945,51.04998011,WGS84,ICBN
37,INBO:IAS:FAL:D:37,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129938,7495","193352,6463",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.08266447,51.04999143,WGS84,ICBN
38,INBO:IAS:FAL:D:38,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129928,834","193353,9437",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.082522995,51.05000275,WGS84,ICBN
39,INBO:IAS:FAL:D:39,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129918,9185","193355,241",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.08238152,51.05001407,WGS84,ICBN
40,INBO:IAS:FAL:D:40,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129908,9747","193356,292",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.082239655,51.05002318,WGS84,ICBN
41,INBO:IAS:FAL:D:41,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129899,0233","193357,2766",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.082097684,51.05003168,WGS84,ICBN
42,INBO:IAS:FAL:D:42,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129889,0719","193358,2612",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.081955714,51.05004019,WGS84,ICBN
43,INBO:IAS:FAL:D:43,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129879,1205","193359,2458",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.081813743,51.0500487,WGS84,ICBN
44,INBO:IAS:FAL:D:44,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129869,1691","193360,2304",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.081671773,51.0500572,WGS84,ICBN
45,INBO:IAS:FAL:D:45,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129859,2177","193361,2151",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.081529802,51.05006571,WGS84,ICBN
46,INBO:IAS:FAL:D:46,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KR,Fallopia covered dike,0,0,,,"380,369801",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"129849,2663","193362,1997",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,4.081387832,51.05007422,WGS84,ICBN
