taxonID,scientificName,Suggestion ScientificName,vernacularName,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_note,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
INBO:RL:VAL:CAR:2008:1356,Harpalus melleti,Harpalus melleti,Variabele halmklimmer,4475127,"Ophonus melletii (Heer, 1837)",Harpalus melletii,Insecta,216,99,Carabidae,3792,Ophonus,4475086,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Harpalus melletii Heer, 1837",Ophonus melletii,4475127,SYNONYM,True,8470475
INBO:RL:VAL:CAR:2008:1359,Harpalus nitidulus,Harpalus nitidulus,,,,,,,,,,,,,,NONE Multiple equal matches for Harpalus nitidulus,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1369,Harpalus sabulicola,Ophonus sabulicola,Zandhalmklimmer,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1392,Masoreus wetterhali,Masoreus wetterhali,Duinloper,4471202,"Masoreus wetterhallii (Gyllenhal, 1813)",Masoreus wetterhallii,Insecta,216,99,Carabidae,3792,Masoreus,1035515,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Masoreus wetterhallii (Gyllenhal, 1813)",Masoreus wetterhallii,4471202,ACCEPTED,False,4471202
INBO:RL:VAL:CAR:2008:1422,Polystichus connexus ,,Roodstreeploper,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1433,Pterostichus longicollis ,Pterostichus longicollis ,Langnekzwartschild,,,,,,,,,,,,,NONE Multiple equal matches for Pterostichus longicollis,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1457,Tachys parvulus ,Elaphropus parvulus,Zwart knotje,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1458,Tachys quadrisignatus ,Elaphropus quadrisignatus,Viervlekknotje,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:FIS:2014:2176,Alosa fallax,Alosa fallax,Fint,,,,,,,,,,,,,NONE Multiple equal matches for Alosa fallax,,,,,,,,,,,,
INBO:RL:VAL:GRA:2000:2226,Gomphocerripus rufus,Gomphocerippus rufus,Rosse sprinkhaan,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:GRA:2017:2312,Gomphocerripus rufus,Gomphocerripus rufus,Rosse sprinkhaan,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3277,Arvicola amphibius/scherman,Arvicola amphibius/scherman,Woelrat,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3291,Crocidura russula,"Crocidura russula (Hermann, 1780)",Huisspitsmuis,,,,,,,,,,,,,NONE Multiple equal matches for Crocidura russula,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3298,Felis silvestris,Felis silvestris,Wilde kat,,,,,,,,,,,,,NONE Multiple equal matches for Felis silvestris,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3330,Myotis daubentonii (W),Myotis daubentonii,Watervleermuis,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3331,Myotis emarginatus (S),Myotis emarginatus,Ingekorven vleermuis,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3332,Myotis emarginatus (W),Myotis emarginatus,Ingekorven vleermuis,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3334,Myotis mystacinus (S),Myotis mystacinus,Baardvleermuis,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3335,Myotis mystacinus (W),Myotis mystacinus,Baardvleermuis,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3336,Myotis nattereri (S),Myotis nattereri,Franjestaart,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3337,Myotis nattereri (W),Myotis nattereri,Franjestaart,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3366,Sorex araneus/coronatus,Sorex araneus/coronatus,Gewone/Tweekleurige bosspitsmuis,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3376,Vulpes vulpes,Vulpes vulpes,Vos,,,,,,,,,,,,,NONE Multiple equal matches for Vulpes vulpes,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4228,Atropa bella-donna L.,Atropa bella-donna L.,Wolfskers,3802655,Atropa belladonna L.,Atropa belladonna,Magnoliopsida,220,100,Solanaceae,7717,Atropa,2928892,Plantae,6,FUZZY,,Solanales,1176,Tracheophyta,7707728,SPECIES,Atropa belladonna L.,Atropa belladonna,3802655,ACCEPTED,False,3802655
INBO:RL:VAL:PLA:2006:4261,Bromus hordeaceus L. subsp. thominei (Hardouin) Br.-Bl.,Bromus hordeaceus L. subsp. thominei (Hardouin) Br.-Bl.,Duindravik,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4307,Carex cuprina (SÃ¡ndor ex Heuffel) Nendtvich ex A. Kerner,Carex otrubae Podp.,Valse voszegge,,,,,,,,,,,,,NONE Multiple equal matches for Carex cuprina,,,,,,,,,,,,
