UniqueID,TaxonomicGroup,YearPublished,Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,SpeciesnameDutch,RLCAsPublished,RLC,RLCEurope,Criteria,IUCNCriteria,Reference,Biome,Biotope1,Biotope2,Cuddliness,Lifespan,Mobility,NutrientLevel,Spine,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_note,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
INBO:RL:VAL:BUT:2011:689,Butterflies,2011,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,camilla,Limenitis camilla,Kleine ijsvogelvlinder,Bijna in gevaar,NT,LC,IUCN,B2a(i),Maes_etal_2011,Terrestrial,Woodlands,,Cuddly,Shortlived,Sedentary,Mesotrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Limenitis camilla,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1102,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Acupalpus,transversalis,Acupalpus transversalis ,Rivierbontloper,Onvoldoende gekend ,DD,,Regional,,Desender_etal_2008,Terrestrial,Rheophilous,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1107,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,dorsale,Agonum dorsale,Akkersnelloper,Momenteel niet bedreigd,LC,,Regional,,Desender_etal_2008,Terrestrial,Eurytopic,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1119,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,obscurum,Agonum obscurum,Smalhalssnelloper,Momenteel niet bedreigd,LC,,Regional,,Desender_etal_2008,Terrestrial,Eurytopic,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Agonum obscurum,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1184,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,atrocoeruleum,Bembidion atrocoeruleum ,Blauwe priemkever,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Rheophilous,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1188,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,clarki,Bembidion clarki ,Atlantische priemkever,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Woodlands,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,8047965,"Bembidion clarkii (Dawson, 1849)",Bembidion clarkii,Insecta,216,99,Carabidae,3792,Bembidion,1035920,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Bembidion clarkii (Dawson, 1849)",Bembidion clarkii,8047965,ACCEPTED,False,8047965
INBO:RL:VAL:CAR:2008:1211,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,mannerheimi,Bembidion mannerheimi,Moerasbospriemkever,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Woodlands,,Non cuddly,Shortlived,Sedentary,Eutrophic,Invertebrate,6097867,"Bembidion mannerheimii C.R.Sahlberg, 1827",Bembidion mannerheimii,Insecta,216,99,Carabidae,3792,Bembidion,1035920,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Bembidion mannerheimii C.R.Sahlberg, 1827",Bembidion mannerheimii,6097867,ACCEPTED,False,6097867
INBO:RL:VAL:CAR:2008:1212,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,maritimum,Bembidion maritimum ,Brakwaterpriemkever,Kwetsbaar  ,VU,,Regional,,Desender_etal_2008,Terrestrial,SaltMarshes,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Bembidion maritimum,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1229,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,quinquestriatum,Bembidion quinquestriatum ,Muurpriemkever,Kwetsbaar  ,VU,,Regional,,Desender_etal_2008,Terrestrial,Anthropogenic,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1232,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,stephensi,Bembidion stephensi ,Grote leempriemkever,Kwetsbaar  ,VU,,Regional,,Desender_etal_2008,Terrestrial,Marshes,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,6097890,"Bembidion stephensii Crotch, 1866",Bembidion stephensii,Insecta,216,99,Carabidae,3792,Bembidion,1035920,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Bembidion stephensii Crotch, 1866",Bembidion stephensii,6097890,ACCEPTED,False,6097890
INBO:RL:VAL:CAR:2008:1240,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,velox,Bembidion velox ,Snelle priemkever,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Marshes,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Bembidion velox,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1344,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,azureus,Harpalus azureus,Azuurblauwe halmklimmer,Bedreigd  ,EN,,Regional,,Desender_etal_2008,Terrestrial,Grasslands,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Harpalus azureus,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1346,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,cordatus,Harpalus cordatus,Duinhalmklimmer,Uitgestorven  ,RE,,Regional,,Desender_etal_2008,Terrestrial,Dunes,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Harpalus cordatus,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1350,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,froelichi,Harpalus froelichi ,Schraallandkruiper,Bedreigd  ,EN,,Regional,,Desender_etal_2008,Terrestrial,Heathlands,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,6097925,"Harpalus froelichii Sturm, 1818",Harpalus froelichii,Insecta,216,99,Carabidae,3792,Harpalus,1035821,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Harpalus froelichii Sturm, 1818",Harpalus froelichii,6097925,ACCEPTED,False,6097925
INBO:RL:VAL:CAR:2008:1356,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,melleti,Harpalus melleti,Variabele halmklimmer,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Grasslands,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,4475127,"Ophonus melletii (Heer, 1837)",Harpalus melletii,Insecta,216,99,Carabidae,3792,Ophonus,4475086,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Harpalus melletii Heer, 1837",Ophonus melletii,4475127,SYNONYM,True,8470475
INBO:RL:VAL:CAR:2008:1359,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,nitidulus,Harpalus nitidulus,,Kwetsbaar  ,VU,,Regional,,Desender_etal_2008,Terrestrial,Grasslands,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Harpalus nitidulus,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1369,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,sabulicola,Harpalus sabulicola,Zandhalmklimmer,Uitgestorven  ,RE,,Regional,,Desender_etal_2008,Terrestrial,Grasslands,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1392,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Masoreus,wetterhali,Masoreus wetterhali,Duinloper,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Dunes,,Non cuddly,Shortlived,Mobile,Oligotrophic,Invertebrate,4471202,"Masoreus wetterhallii (Gyllenhal, 1813)",Masoreus wetterhallii,Insecta,216,99,Carabidae,3792,Masoreus,1035515,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Masoreus wetterhallii (Gyllenhal, 1813)",Masoreus wetterhallii,4471202,ACCEPTED,False,4471202
INBO:RL:VAL:CAR:2008:1422,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Polystichus,connexus,Polystichus connexus ,Roodstreeploper,Waarschijnlijk bedreigd,DD(PT),,Regional,,Desender_etal_2008,Terrestrial,Marshes,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1433,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,longicollis,Pterostichus longicollis ,Langnekzwartschild,Met uitsterven bedreigd,CR,,Regional,,Desender_etal_2008,Terrestrial,SaltMarshes,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Pterostichus longicollis,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1457,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Tachys,parvulus,Tachys parvulus ,Zwart knotje,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Eurytopic,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1458,CarabidBeetles,2008,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Tachys,quadrisignatus,Tachys quadrisignatus ,Viervlekknotje,Zeldzaam  ,NT,,Regional,,Desender_etal_2008,Terrestrial,Rheophilous,,Non cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:FIS:2014:2176,FreshwaterFishes,2014,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,fallax,Alosa fallax,Fint,Ernstig bedreigd,CR,LC,IUCN,"A2c;B2a(i,ii)b(iv)",Verreycken_etal_2014,Aquatic,Rheophilous,,Non cuddly,Longlived,Mobile,Mesotrophic,Vertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Alosa fallax,,,,,,,,,,,,
INBO:RL:VAL:GRA:2000:2226,Grasshoppers,2000,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Gomphocerripus,rufus,Gomphocerripus rufus,Rosse sprinkhaan,Met uitsterven bedreigd,CR,LC,Regional,,Decleer_etal_2000,Terrestrial,Grasslands,,Non cuddly,Shortlived,Mobile,Mesotrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:GRA:2017:2312,Grasshoppers,2017,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Gomphocerripus,rufus,Gomphocerripus rufus,Rosse sprinkhaan,Kwetsbaar,VU,LC,IUCN,"Ba(i,ii);D",Maes_etal_2017,Terrestrial,Grasslands,,Non cuddly,Shortlived,Mobile,Mesotrophic,Invertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3277,Mammals,2014,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,amphibius,Arvicola amphibius/scherman,Woelrat,Bijna in gevaar,NT,LC,IUCN,A2c;B1b(ii),Maes_etal_2014,SemiAquatic,Rheophilous,,Non cuddly,Shortlived,Sedentary,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3291,Mammals,2014,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,russula,Crocidura russula,Huisspitsmuis,Momenteel niet in gevaar,LC,LC,IUCN,,Maes_etal_2014,Terrestrial,Shrubs,,Non cuddly,Shortlived,Sedentary,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Crocidura russula,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3298,Mammals,2014,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,Felis silvestris,Wilde kat,Ernstig bedreigd,CR,LC,IUCN,D,Maes_etal_2014,Terrestrial,Woodlands,,Cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Felis silvestris,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3330,Mammals,2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,daubentonii,Myotis daubentonii (W),Watervleermuis,Momenteel niet in gevaar,LC,LC,IUCN,,Maes_etal_2014,SemiAquatic,Limnophilous,,Non cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3331,Mammals,2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,emarginatus,Myotis emarginatus (S),Ingekorven vleermuis,Bedreigd,EN,LC,IUCN,B1a(i)b(iii);D1,Maes_etal_2014,Terrestrial,Anthropogenic,,Non cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3332,Mammals,2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,emarginatus,Myotis emarginatus (W),Ingekorven vleermuis,Kwetsbaar,VU,LC,IUCN,D1,Maes_etal_2014,Terrestrial,Anthropogenic,,Non cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3334,Mammals,2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,mystacinus,Myotis mystacinus (S),Baardvleermuis,Onvoldoende data,DD,LC,IUCN,,Maes_etal_2014,Terrestrial,Anthropogenic,,Non cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3335,Mammals,2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,mystacinus,Myotis mystacinus (W),Baardvleermuis,Momenteel niet in gevaar,LC,LC,IUCN,,Maes_etal_2014,Terrestrial,Anthropogenic,,Non cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3336,Mammals,2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nattereri,Myotis nattereri (S),Franjestaart,Onvoldoende data,DD,LC,IUCN,,Maes_etal_2014,Terrestrial,Woodlands,,Non cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3337,Mammals,2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nattereri,Myotis nattereri (W),Franjestaart,Momenteel niet in gevaar,LC,LC,IUCN,,Maes_etal_2014,Terrestrial,Woodlands,,Non cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3366,Mammals,2014,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,araneus,Sorex araneus/coronatus,Gewone/Tweekleurige bosspitsmuis,Momenteel niet in gevaar,LC,LC,IUCN,,Maes_etal_2014,Terrestrial,Shrubs,,Non cuddly,Shortlived,Sedentary,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:MAM:2014:3376,Mammals,2014,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,Vulpes vulpes,Vos,Momenteel niet in gevaar,LC,LC,IUCN,,Maes_etal_2014,Terrestrial,Eurytopic,,Cuddly,Longlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Vulpes vulpes,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4228,VascularPlants,2006,Plantae,Tracheophyta,Spermatopsida,Polemoniales,Solanaceae,Atropa,belladonna,Atropa bella-donna L.,Wolfskers,Zeldzaam,NT,,Regional,,VanLanduyt_etal_2006,Terrestrial,Woodlands,,Cuddly,Longlived,Mobile,Eutrophic,Plant,3802655,Atropa belladonna L.,Atropa belladonna,Magnoliopsida,220,100,Solanaceae,7717,Atropa,2928892,Plantae,6,FUZZY,,Solanales,1176,Tracheophyta,7707728,SPECIES,Atropa belladonna L.,Atropa belladonna,3802655,ACCEPTED,False,3802655
INBO:RL:VAL:PLA:2006:4261,VascularPlants,2006,Plantae,Tracheophyta,Spermatopsida,Poales,Poaceae,Bromus,hordeaceus L. subsp. Thominei,Bromus hordeaceus L. subsp. thominei (Hardouin) Br.-Bl.,Duindravik,Zeldzaam,NT,,Regional,,VanLanduyt_etal_2006,Terrestrial,Dunes,,Cuddly,Shortlived,Mobile,Oligotrophic,Plant,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4308,VascularPlants,2006,Plantae,Tracheophyta,Spermatopsida,Juncales,Cyperaceae,Carex,demissa,Carex demissa Vahl ex Hartm.,Geelgroene zegge,Momenteel niet bedreigd,LC,,Regional,,VanLanduyt_etal_2006,Terrestrial,Heathlands,Grasslands,Cuddly,Longlived,Mobile,Oligotrophic,Plant,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4347,VascularPlants,2006,Plantae,Tracheophyta,Spermatopsida,Juncales,Cyperaceae,Carex,viridula s.l.,Carex viridula s.l.,Dwergzegge groep,Bedreigd,EN,,Regional,,VanLanduyt_etal_2006,Terrestrial,Grasslands,,Cuddly,Longlived,Mobile,Oligotrophic,Plant,,,,,,,,,,,,,NONE Multiple equal matches for Carex viridula,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4465,VascularPlants,2006,Plantae,Tracheophyta,Spermatopsida,Dipsacales,Dipsacaceae,Dipsacus,fullonum,Dipsacus fullonum L.,Grote kaardenbol,Momenteel niet bedreigd,LC,,Regional,,VanLanduyt_etal_2006,Terrestrial,Shrubs,,Cuddly,Shortlived,Sedentary,Eutrophic,Plant,,,,,,,,,,,,,NONE Multiple equal matches for Dipsacus fullonum,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4503,VascularPlants,2006,Plantae,Tracheophyta,Spermatopsida,Orchidales,Orchidaceae,Epipactis,phyllanthes,Epipactis phyllanthes G.E. Smith,Groene wespenorchis,Zeldzaam,NT,LC,Regional,,VanLanduyt_etal_2006,Terrestrial,Woodlands,,Cuddly,Longlived,Mobile,Mesotrophic,Plant,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4748,VascularPlants,2006,Plantae,Tracheophyta,Spermatopsida,Fabales,Fabaceae,Lotus,corniculatus subsp. Tenuis,Lotus corniculatus L. subsp. tenuis (Waldst. et Kit. ex Willd.) Berher,Smalle rolklaver,Momenteel niet bedreigd,LC,,Regional,,VanLanduyt_etal_2006,Terrestrial,SaltMarshes,,Cuddly,Longlived,Sedentary,Mesotrophic,Plant,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
