ï»¿eventID,type,basisOfRecord,occurrenceID,recordedBy,individualCount,summaryIndividualCount,sex,lifestage,occurrenceStatus,samplingProtocol,identifiedBy,scientificName,kingdom,phylum,class,taxonRank,scientificNameAuthorship,vernacularName
INBO:NBN:BFN001790000378Z,Event,HumanObservation,INBO:NBN:BFN001790000A50X,BFN00179000004PX,4,"""Adult Man"":2, ""Adult Vrouw"":2","{""male"":2, ""female"":2}","{""adult"":2, ""adult"":2}",present,casual observation,BFN00179000004PX,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000025SE,Event,HumanObservation,INBO:NBN:BFN00179000097P7,BFN00179000002AF | BFN00179000002AG,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,culling - shooting,BFN001790000000I,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000025SE,Event,HumanObservation,INBO:NBN:BFN0017900007XFU,BFN00179000002AF | BFN00179000002AG,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000000I,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000038AG,Event,HumanObservation,INBO:NBN:BFN001790000A86W,BFN00179000004PN | BFN001790000055P,6,"""Adult Vrouw"":1, ""Juveniel"":5","{""female"":1}","{""adult"":1, ""juvenile"":5}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O5F,Event,HumanObservation,INBO:NBN:BFN0017900009855,BFN00179000004PP,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN00179000004PP,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O54,Event,HumanObservation,INBO:NBN:BFN001790000984X,BFN00179000002AG,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000037AQ,Event,HumanObservation,INBO:NBN:BFN001790000A5KA,BFN00179000004PN,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,culling - shooting,BFN00179000004PN,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000035RX,Event,HumanObservation,INBO:NBN:BFN001790000A050,BFN0017900000562 | BFN00179000002AF,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002WJ1,Event,HumanObservation,INBO:NBN:BFN0017900009NWW,BFN00179000002AF | BFN001790000055R,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN001790000378X,Event,HumanObservation,INBO:NBN:BFN001790000A50V,BFN00179000002AF | BFN00179000002AG,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
